a,b,c
B,D,H
B,H,H
A,C,G
A,H,G
A,C,G
D,C,G
A,C,G
E,C,G
A,H,H
E,D,H
E,D,H
E,D,H
C,H,H
B,D,H
A,C,G
A,C,G
A,C,G
A,C,G
A,H,G
B,C,G
B,D,G
B,D,H
B,D,H
C,D,H
B,D,H
B,D,H
A,C,H
F,C,G
D,F,G
A,C,G
A,C,G
A,H,G
D,C,G
D,G,H
C,G,H
D,F,H
D,G,H
D,G,H
F,G,H
F,H,K
F,H,K
F,H,K
F,H,K
F,H,K
C,H,K
F,H,K
D,H,K
F,H,K
F,H,K
D,C,K
F,C,K
D,H,K
D,F,I
E,F,I
B,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
C,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
E,F,I
E,H,I
E,C,K
B,C,K
C,C,K
E,C,K
E,C,K
E,C,K
E,C,K
E,C,K
E,C,K
E,C,K
E,C,K
C,G,K
C,D,J
C,C,J
C,F,J
C,G,J
C,G,J
B,G,J
B,G,H
B,C,H
B,F,H
B,F,H
B,F,H
B,F,H
B,F,H
A,F,H
D,D,H
B,F,H
B,F,H
B,G,H
F,H,H
F,H,K
F,H,K
F,H,K
F,H,K
F,C,K
D,C,K
D,F,I
D,F,I
D,F,I
A,F,I
D,F,I
B,F,I
D,F,I
D,D,I
A,G,I
D,F,I
D,F,I
D,C,I
D,F,I
D,F,I
E,F,I
E,C,I
A,C,K
E,G,K
E,C,K
E,H,K
E,C,K
E,C,K
E,C,K
E,C,K
A,C,K
E,C,K
E,C,K
C,C,K
C,G,J
C,G,J
C,G,J
C,G,J
C,G,J
B,G,J
B,D,H
B,D,H
B,D,H
B,D,H
D,G,H
B,D,H
B,D,H
B,H,H
C,D,H
B,D,H
B,F,H
B,C,H
A,C,H
A,C,G
B,C,G
A,H,G
A,C,G
A,C,G
B,H,G
B,D,H
B,D,H
B,G,H
B,D,H
B,D,H
C,D,H
C,C,J
B,C,J
C,C,J
C,C,J
E,C,J
C,G,J
C,G,J
C,H,J
C,G,J
C,G,J
C,G,J
C,G,J
F,C,J
D,C,H
D,C,H
E,D,H
D,C,H
D,C,H
E,C,H
E,G,H
E,F,H
D,G,H
C,G,H
F,G,H
B,G,H
D,H,J
D,H,J
D,H,J
D,H,J
D,H,J
D,F,J
D,H,J
C,H,J
D,H,J
D,H,J
D,H,J
D,H,J
C,G,J
C,D,H
F,H,H
B,H,H
C,H,H
C,H,H
C,H,H
C,H,H
C,H,H
B,G,H
B,D,H
B,H,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,C,H
A,D,H
A,C,H
A,C,G
A,G,G
F,C,G
A,C,G
A,C,G
B,D,G
E,D,H
F,D,H
B,D,H
B,D,H
A,C,H
C,D,H
C,C,G
C,C,G
C,C,G
C,C,G
B,D,G
B,C,G
B,D,H
B,F,H
B,D,H
A,D,H
B,D,H
A,D,H
F,G,H
A,C,G
E,C,G
A,H,G
E,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
C,C,G
A,C,G
B,C,G
B,C,H
B,D,H
B,D,H
B,D,H
F,F,H
F,D,H
C,H,K
C,H,K
C,H,K
C,D,K
C,H,K
D,F,K
D,F,K
D,F,I
D,F,I
F,F,I
E,G,I
D,F,I
A,H,I
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
B,H,K
C,F,J
F,D,J
C,F,J
C,F,J
C,F,J
E,D,J
E,G,I
E,F,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
A,G,I
A,G,I
E,F,I
E,F,I
A,G,I
E,D,I
E,G,I
E,G,I
E,G,I
A,G,I
E,G,I
B,H,I
C,D,H
B,D,H
A,D,H
B,D,H
B,D,H
A,C,H
F,C,G
A,C,G
A,C,G
F,C,G
A,G,G
E,C,G
E,D,G
E,H,H
E,H,H
A,H,H
B,D,H
E,D,H
E,D,H
A,F,G
A,H,G
A,C,G
A,C,G
A,C,G
B,C,G
B,D,H
B,D,H
B,D,H
A,D,H
B,G,H
A,H,H
A,C,G
A,C,G
A,D,G
A,C,G
A,C,G
D,D,G
D,F,G
D,G,H
E,G,H
F,G,H
D,G,H
F,G,H
F,H,H
F,H,K
F,H,K
F,C,K
F,H,K
F,H,K
F,H,K
F,F,K
F,H,K
F,F,K
F,H,K
F,H,K
D,H,K
F,F,I
D,F,I
D,F,I
D,F,I
D,H,I
D,F,I
D,F,I
C,F,I
D,F,I
D,D,I
D,F,I
D,F,I
C,F,I
F,F,I
D,F,I
E,C,I
E,C,K
C,C,K
E,C,K
E,C,K
E,C,K
E,C,K
D,C,K
E,C,K
E,C,K
E,C,K
E,C,K
C,C,K
F,G,K
B,G,J
C,G,J
A,G,J
C,G,J
E,G,J
B,H,J
B,F,H
B,H,H
B,F,H
B,F,H
E,D,H
F,F,H
B,F,H
A,F,H
B,F,H
B,C,H
B,F,H
F,F,H
E,C,K
F,H,K
A,H,K
F,H,K
C,H,K
D,H,K
E,F,K
D,G,I
F,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,G,I
C,F,I
D,F,I
A,F,I
D,F,I
E,F,I
E,C,K
E,C,K
A,D,K
E,F,K
E,C,K
E,C,K
E,C,K
E,G,K
A,D,K
E,C,K
E,C,K
C,C,K
C,G,K
C,F,J
C,G,J
B,F,J
D,C,J
C,F,J
B,D,J
B,D,H
D,D,H
B,D,H
B,G,H
B,D,H
B,D,H
B,D,H
B,H,H
B,D,H
E,C,H
F,C,H
B,D,H
A,C,G
C,C,G
A,C,G
F,C,G
A,G,G
F,C,G
B,D,G
C,D,H
B,G,H
B,D,H
B,D,H
A,D,H
C,C,H
D,C,J
C,C,J
D,C,J
C,C,J
E,H,J
C,G,J
C,G,J
C,G,J
C,G,J
C,G,J
F,G,J
C,H,J
D,C,H
D,C,H
D,G,H
D,D,H
D,D,H
E,C,H
E,G,H
E,G,H
C,G,H
B,F,H
A,G,H
E,G,H
D,H,H
D,H,J
D,H,J
D,H,J
D,H,J
B,H,J
D,H,J
D,H,J
D,H,J
A,H,J
D,H,J
D,G,J
C,G,J
C,H,H
C,H,H
C,H,H
C,H,H
C,H,H
C,H,H
C,H,H
C,C,H
C,H,H
B,D,H
B,D,H
D,D,H
E,D,H
B,C,H
B,D,H
B,G,H
B,D,H
B,D,H
A,D,H
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
B,C,G
B,D,H
F,D,H
B,D,H
B,C,H
B,D,H
A,D,H
C,C,H
C,C,G
C,C,G
C,F,G
C,C,G
E,C,G
B,D,G
B,C,H
B,D,H
B,D,H
E,G,H
B,D,H
E,D,H
A,D,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,F,G
A,D,G
A,G,G
B,C,G
A,C,G
E,D,G
B,D,G
D,D,H
B,D,H
B,D,H
B,D,H
B,H,H
A,H,H
C,H,K
D,H,K
D,H,K
A,H,K
C,H,K
D,H,K
D,F,I
D,F,I
F,F,I
D,F,I
D,G,I
D,F,I
B,H,K
C,H,K
E,H,K
D,F,K
D,H,K
C,H,K
C,F,K
C,F,J
C,F,J
C,F,J
C,G,J
C,F,J
E,G,J
F,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
F,G,I
F,H,I
E,G,I
D,G,I
E,G,I
E,G,I
E,D,I
B,G,I
B,D,I
A,D,H
B,D,H
B,G,H
B,D,H
B,D,H
A,C,H
C,D,G
A,C,G
A,C,G
C,C,G
A,C,G
E,C,G
E,C,H
A,F,H
E,D,H
E,F,H
A,D,H
E,D,H
A,C,G
A,C,G
F,G,G
A,C,G
A,C,G
B,D,G
B,D,G
B,D,H
B,D,H
B,H,H
A,D,H
C,D,H
D,C,H
A,D,G
C,C,G
A,H,G
A,C,G
A,F,G
D,D,G
F,G,H
D,G,H
D,G,H
D,G,H
D,G,H
F,C,H
F,H,K
F,F,K
F,D,K
F,H,K
F,H,K
F,H,K
F,H,K
F,H,K
F,H,K
F,H,K
F,H,K
F,H,K
D,F,K
D,F,I
D,F,I
B,F,I
A,F,I
D,F,I
D,C,I
D,F,I
A,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
E,F,I
E,C,I
E,C,K
E,H,K
A,D,K
E,C,K
E,C,K
E,C,K
E,C,K
A,H,K
E,C,K
E,C,K
E,C,K
C,G,K
C,G,J
C,G,J
C,G,J
C,G,J
C,G,J
A,G,J
B,F,H
B,F,H
B,C,H
B,F,H
B,C,H
B,F,H
B,F,H
B,F,H
B,F,H
B,F,H
B,C,H
B,F,H
F,H,H
F,H,K
F,H,K
F,H,K
F,H,K
F,H,K
D,D,K
D,F,I
D,F,I
B,C,I
D,F,I
D,F,I
D,F,I
D,D,I
C,H,I
D,F,I
B,C,I
E,F,I
D,C,I
C,F,I
D,F,I
E,F,I
E,C,I
E,C,K
E,C,K
E,H,K
E,C,K
E,C,K
E,C,K
E,H,K
E,C,K
E,C,K
E,C,K
E,C,K
C,C,K
C,G,J
C,G,J
A,G,J
C,D,J
C,G,J
B,G,J
B,D,H
B,C,H
C,D,H
B,D,H
B,D,H
B,D,H
B,G,H
B,G,H
D,D,H
B,D,H
B,F,H
B,G,H
A,C,H
E,C,G
A,C,G
A,D,G
A,C,G
A,C,G
B,G,G
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
C,C,J
C,C,J
D,C,J
C,C,J
C,D,J
C,G,J
C,G,J
C,G,J
C,G,J
C,C,J
C,G,J
E,D,J
D,C,J
D,C,H
B,C,H
D,C,H
F,C,H
D,C,H
E,C,H
E,G,H
E,G,H
E,G,H
E,G,H
E,H,H
D,G,H
D,H,J
D,H,J
D,H,J
D,H,J
D,H,J
D,H,J
D,H,J
D,G,J
E,H,J
D,H,J
D,H,J
B,H,J
