a,b,c,d,e
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
F,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
D,D,J,K,H
D,D,I,K,H
D,D,I,K,H
D,F,I,K,H
D,F,I,K,H
D,F,I,H,H
D,F,I,K,H
D,F,J,L,H
D,F,J,K,H
D,F,J,K,H
D,F,J,L,H
D,F,J,K,H
D,F,J,K,H
D,F,H,K,H
B,F,J,H,H
C,F,I,G,J
D,F,J,G,J
D,F,J,G,J
A,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,H,J,G,J
D,F,J,G,J
E,G,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,G,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,G,G,J
D,F,J,G,J
D,D,J,G,J
D,F,J,G,J
C,F,J,G,J
C,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
A,F,J,G,J
A,F,H,G,J
A,F,J,G,J
F,H,J,G,J
A,H,J,L,J
A,H,J,G,H
A,H,K,G,H
A,H,H,G,H
A,H,H,G,H
A,H,H,G,H
A,G,H,G,H
A,G,H,G,H
A,G,G,G,H
A,G,H,G,I
A,D,H,H,I
A,G,H,H,I
A,G,H,H,I
A,G,H,H,I
A,G,H,H,I
A,G,H,H,I
A,G,H,H,I
A,G,H,H,I
A,G,H,H,I
A,D,H,H,I
A,G,H,H,I
A,C,H,H,I
C,G,H,H,I
A,G,H,H,I
A,G,H,H,I
A,G,H,H,I
A,G,H,H,I
A,G,H,H,I
D,G,K,H,I
A,G,H,K,I
A,G,H,H,I
B,G,H,H,I
A,G,K,H,I
C,G,H,H,I
A,G,H,H,I
A,F,H,H,I
E,C,H,H,I
B,G,H,H,I
C,G,H,H,I
E,G,H,K,I
E,G,H,H,I
A,G,H,H,I
E,G,H,H,I
E,G,H,J,I
E,G,H,H,I
E,G,H,H,I
A,H,I,H,I
F,G,H,H,I
A,G,H,H,I
A,G,H,I,I
A,G,H,H,I
A,C,H,H,I
A,C,H,H,I
A,C,H,H,I
A,C,H,H,M
A,C,G,H,M
A,C,J,H,M
A,C,G,H,M
A,C,G,L,M
A,D,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,H,L,M
A,C,G,L,M
A,C,G,L,M
A,C,J,L,M
A,G,G,L,M
A,C,G,L,M
D,C,G,L,M
A,C,G,L,M
A,C,G,H,M
A,C,G,L,M
A,C,G,I,M
A,C,G,L,M
D,C,G,L,M
A,H,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,K,L,M
B,C,G,L,M
A,G,G,L,M
C,C,G,L,M
C,C,G,I,M
C,C,G,L,M
C,C,G,L,M
E,H,G,L,M
C,F,G,L,M
C,F,G,L,M
C,F,G,L,M
A,F,G,L,M
C,F,G,L,M
C,F,I,L,M
C,F,I,L,M
C,F,I,J,M
C,D,I,J,M
C,F,I,J,K
C,F,I,J,K
C,F,I,J,K
C,H,I,J,K
C,F,I,J,K
C,F,I,J,K
C,D,I,J,K
C,F,I,J,K
C,F,I,J,K
C,F,I,J,K
C,F,I,J,K
B,F,I,J,K
B,F,I,J,K
B,D,I,J,K
B,F,I,J,K
B,F,I,J,K
B,F,I,I,K
B,F,I,J,K
B,F,I,J,K
C,F,J,J,K
B,F,K,I,K
B,F,J,J,K
B,F,J,J,K
B,F,J,G,K
B,F,J,J,K
B,F,J,G,H
B,F,J,G,H
B,F,K,G,I
B,F,K,G,I
F,F,K,G,I
B,F,K,G,I
B,F,K,G,I
B,F,K,G,I
B,F,K,G,I
B,F,K,G,I
B,F,K,G,I
B,F,K,G,I
B,F,I,G,I
B,F,K,G,I
B,F,K,G,I
B,F,K,G,I
B,F,K,G,I
B,F,K,H,I
B,F,K,G,I
B,F,K,J,I
B,F,K,G,I
B,F,K,G,I
B,F,K,G,I
B,F,K,G,I
B,F,K,L,I
B,G,K,G,I
A,F,K,L,I
A,F,K,L,I
A,F,I,L,I
A,F,K,L,I
A,F,K,L,I
A,F,K,L,I
A,F,J,L,I
A,F,K,J,I
A,F,K,L,I
A,F,K,L,I
A,F,J,L,I
A,F,K,L,I
A,F,K,I,I
A,F,K,L,I
A,F,I,L,I
A,D,K,L,I
A,D,I,L,I
A,D,I,L,I
A,D,I,L,I
A,D,J,L,I
A,D,H,L,I
A,D,I,L,I
A,D,I,L,I
A,D,I,L,I
A,D,I,L,I
