a,b,c,d
F,H,K,J
F,C,K,J
D,H,K,J
D,H,K,J
F,H,K,J
D,C,K,J
D,F,K,J
D,F,J,J
D,F,I,K
D,F,I,K
B,F,I,K
D,H,I,K
D,F,I,K
D,F,I,K
D,F,K,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,G,I,K
D,F,G,K
D,F,I,K
D,F,I,K
D,F,I,K
D,H,K,K
E,H,I,K
D,F,I,K
D,C,I,K
C,F,I,K
D,C,I,K
E,F,H,K
A,D,G,K
E,C,G,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,I,K
E,C,G,K
D,C,G,K
E,C,I,K
C,C,K,K
E,C,K,K
E,C,K,K
B,C,K,K
B,C,K,K
E,C,K,K
E,C,G,K
F,C,K,K
C,F,K,K
C,C,K,K
C,C,K,K
C,F,K,K
E,G,J,K
A,G,J,L
C,G,J,L
C,F,J,L
C,G,J,L
C,G,J,L
C,G,J,L
F,G,H,L
B,G,I,L
B,D,J,L
B,C,H,L
B,D,H,I
B,D,H,I
B,D,H,I
D,D,H,I
B,D,H,I
F,D,G,I
B,D,H,I
C,D,H,I
B,D,H,I
B,D,I,I
B,G,H,I
B,D,H,I
B,G,H,I
C,D,H,I
B,D,H,I
B,D,K,I
B,D,H,I
A,D,H,I
A,C,H,I
A,C,K,I
D,C,G,H
A,F,G,H
A,H,G,H
A,C,K,H
E,G,K,H
A,C,G,H
A,C,G,H
C,C,G,H
B,D,H,H
B,D,H,H
C,D,G,I
C,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,I,I
B,D,H,I
C,D,H,I
C,G,H,I
C,D,J,I
C,C,I,G
C,C,J,G
C,C,J,G
C,G,J,G
C,C,J,G
C,F,I,G
C,G,J,G
C,G,J,G
C,G,G,G
C,D,J,I
F,F,I,I
C,G,J,I
B,G,J,I
C,G,J,I
F,G,J,I
C,G,J,I
E,G,I,I
D,G,J,L
D,C,J,L
D,D,H,L
D,C,K,L
D,C,H,L
D,C,H,L
D,F,J,L
D,G,K,L
D,C,I,L
D,C,H,L
C,C,H,L
E,G,H,L
E,G,H,L
E,G,H,L
E,G,H,L
E,G,H,L
E,G,I,K
E,G,H,K
E,G,I,K
E,G,G,K
D,G,H,G
D,H,H,G
D,H,J,G
D,H,J,G
A,D,J,G
D,G,J,G
D,G,J,G
D,H,J,G
D,G,J,G
D,H,H,I
D,H,J,I
D,H,J,I
D,H,I,I
D,H,J,I
D,H,K,I
A,H,G,I
D,H,J,I
D,H,I,L
D,H,G,L
D,H,J,L
C,H,H,L
C,H,G,L
C,D,H,L
C,H,H,L
C,G,H,L
C,H,H,L
C,H,H,L
C,H,H,L
C,H,H,L
C,H,H,L
C,H,H,L
A,H,J,L
C,H,H,L
C,H,I,K
C,H,H,K
B,H,J,K
B,G,I,K
B,D,H,I
B,D,H,I
B,D,G,I
B,H,I,I
B,D,H,I
A,D,G,I
B,F,H,I
B,D,G,I
B,D,H,I
C,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
E,H,H,I
F,C,H,I
A,C,K,I
A,C,K,H
A,C,G,H
A,C,G,H
A,H,G,H
B,C,G,H
A,C,G,H
A,C,G,H
E,C,K,H
A,D,G,H
B,D,H,H
B,D,H,I
B,D,H,I
B,C,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,G,H,I
C,D,H,I
C,C,H,I
C,G,G,I
C,C,G,H
C,C,G,H
C,H,G,H
C,C,I,H
C,C,G,H
C,C,G,H
B,C,G,H
B,C,K,H
B,F,G,H
B,D,J,H
B,D,K,I
B,D,H,I
B,D,I,I
F,D,H,I
B,D,H,I
D,D,H,I
B,D,H,I
F,D,H,I
A,C,J,I
A,C,G,I
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
C,C,G,H
A,H,G,H
A,C,G,H
C,G,G,H
A,D,G,H
A,H,G,H
A,C,J,H
A,C,G,H
A,C,G,H
C,C,G,H
A,D,G,H
B,C,H,H
B,G,H,H
A,G,H,H
C,D,K,I
B,D,H,I
B,C,K,I
B,D,H,I
B,D,H,I
B,D,G,I
F,D,H,I
C,F,H,I
C,H,H,I
C,H,K,I
C,H,K,J
A,H,K,J
C,H,K,J
C,H,K,J
C,H,I,J
C,H,K,J
C,H,K,J
D,G,K,J
F,D,I,J
D,F,G,J
D,G,I,J
C,D,I,J
D,F,I,J
E,G,I,K
B,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,H,I,K
D,H,K,K
D,H,K,K
B,H,K,K
D,C,K,K
D,D,I,K
D,H,K,K
D,H,K,K
D,F,K,K
C,H,K,K
C,F,K,K
E,F,J,K
F,F,J,I
C,F,J,I
B,F,J,I
E,F,K,I
C,F,J,I
C,G,J,I
C,F,J,I
E,F,J,I
E,G,J,I
E,G,I,I
E,G,I,J
A,G,I,J
E,G,I,J
E,G,I,J
E,D,K,J
F,G,I,J
E,G,I,J
E,G,I,J
E,G,I,J
E,C,I,J
E,G,I,J
E,G,I,J
A,G,I,J
E,H,I,K
E,F,I,K
A,G,I,K
E,G,K,K
E,G,I,K
E,G,I,K
E,F,I,K
E,G,I,K
E,G,I,K
E,G,I,K
E,H,I,K
E,G,I,K
E,G,K,K
E,G,J,K
B,G,I,K
B,D,I,K
B,D,H,K
C,D,H,I
C,H,H,I
B,G,K,I
B,D,K,I
B,D,H,I
B,D,J,I
B,H,H,I
A,F,I,I
D,C,H,I
A,F,G,I
A,F,G,H
E,G,K,H
A,C,G,H
A,C,G,H
A,C,H,H
A,C,G,H
A,C,G,H
E,C,G,H
E,D,G,H
E,D,H,H
E,H,H,L
A,D,G,L
E,D,H,L
E,D,I,L
E,D,H,L
E,D,J,L
E,H,G,L
A,D,H,L
A,C,H,L
A,C,G,L
A,C,G,H
B,C,I,H
A,C,J,H
A,C,G,H
A,C,G,H
A,F,G,H
A,F,G,H
B,C,G,H
B,D,G,H
F,D,H,H
B,C,H,I
B,D,H,I
B,H,K,I
B,D,H,I
B,D,H,I
E,D,H,I
B,D,H,I
A,D,I,I
A,C,H,I
A,C,G,I
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,H,H
D,C,G,H
A,C,G,H
B,G,J,H
D,G,G,H
C,G,K,H
D,G,K,I
C,G,H,I
D,G,H,I
A,H,H,I
D,G,H,I
E,H,H,I
C,G,K,I
F,G,K,I
F,H,H,I
F,H,K,I
F,H,K,J
F,H,I,J
F,H,K,J
F,C,K,J
F,H,K,J
A,H,I,J
A,H,K,J
C,H,K,J
F,H,K,J
F,H,K,J
F,H,K,J
A,F,K,J
C,H,G,J
E,H,H,J
F,H,K,J
F,H,K,J
F,H,K,J
D,H,K,J
B,F,K,J
F,F,H,J
D,F,I,K
D,H,I,K
D,F,I,K
B,F,I,K
A,F,I,K
D,F,I,K
D,F,I,K
D,G,K,K
D,F,I,K
B,F,I,K
D,F,I,K
A,C,I,K
D,C,I,K
D,F,H,K
D,F,I,K
D,G,J,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
F,F,I,K
D,F,I,K
C,D,I,K
E,C,I,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,G,K
D,F,K,K
E,C,K,K
E,C,G,K
E,C,K,K
E,H,K,K
E,C,K,K
E,C,K,K
C,C,K,K
C,G,K,K
C,H,J,K
C,G,I,L
C,C,J,L
C,G,J,L
F,G,J,L
C,G,J,L
C,G,J,L
C,G,J,L
A,C,G,L
F,F,J,L
C,F,H,L
B,F,H,H
B,F,H,H
B,D,H,H
B,F,K,H
B,F,H,H
C,F,H,H
B,D,J,H
B,F,H,L
B,F,H,L
B,G,H,L
B,F,H,H
B,F,H,H
D,F,H,H
B,F,H,H
B,F,K,H
B,F,H,H
B,F,H,H
E,F,H,L
A,D,K,L
F,H,K,L
F,H,K,J
F,H,K,J
F,H,K,J
B,H,K,J
A,H,G,J
A,H,J,J
F,H,G,J
C,H,K,J
D,F,K,J
D,F,I,J
A,C,I,K
D,F,I,K
D,C,G,K
C,F,I,K
D,F,I,K
D,F,K,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,G,K
E,F,I,K
C,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,K,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
E,D,I,K
B,G,I,K
E,C,K,K
E,C,K,K
C,C,G,K
A,G,K,K
E,C,I,K
E,C,J,K
E,C,J,K
E,C,J,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
F,C,K,K
D,H,K,K
E,G,I,K
E,G,K,K
E,C,K,K
E,C,G,K
C,C,I,K
C,G,K,K
C,G,G,K
C,G,J,L
E,G,J,L
E,G,J,L
B,D,J,L
C,G,K,L
C,G,J,L
B,G,G,L
B,G,J,L
B,G,J,L
B,C,H,L
B,D,H,I
B,F,H,I
B,D,H,I
B,D,H,I
B,D,K,I
D,D,H,I
B,F,H,I
B,D,H,I
A,D,H,I
B,D,H,I
B,D,H,I
B,H,H,I
B,D,H,I
B,D,H,I
F,D,H,I
B,H,H,I
B,D,H,I
A,D,H,I
A,F,H,I
A,C,G,I
E,C,G,H
F,C,G,H
A,C,G,H
E,C,G,H
A,C,G,H
A,D,H,H
A,F,G,H
B,C,G,H
B,D,G,H
B,D,H,H
A,D,H,I
B,D,G,I
B,D,H,I
B,D,H,I
B,F,I,I
B,G,H,I
B,D,H,I
D,G,H,I
C,C,H,I
C,C,G,I
C,C,J,G
F,C,J,G
E,C,J,G
C,C,J,G
C,C,J,G
C,C,J,G
B,G,J,G
C,G,J,G
D,G,J,G
C,G,J,I
C,G,K,I
C,G,J,I
A,G,H,I
C,G,J,I
E,G,J,I
C,G,J,I
C,G,J,I
D,G,J,L
D,C,J,L
D,C,H,L
D,C,H,L
D,D,J,L
F,C,H,L
D,C,J,L
D,C,H,L
D,H,I,L
F,C,J,L
E,C,H,L
C,G,H,L
E,C,H,L
E,G,H,L
E,G,H,L
E,G,H,L
E,F,H,K
A,G,I,K
A,G,J,K
E,G,H,K
F,G,J,G
D,H,H,G
D,H,G,G
D,F,J,G
D,H,J,G
D,H,J,G
D,H,J,G
F,H,J,G
D,H,J,G
D,H,J,I
D,H,J,I
D,C,J,I
D,H,J,I
E,H,K,I
B,F,J,I
D,H,H,I
B,D,J,I
D,C,H,L
D,F,J,L
D,H,J,L
C,H,J,L
C,D,G,L
F,H,J,L
C,H,H,L
C,H,H,L
C,H,I,L
C,H,H,L
B,D,H,L
C,H,I,L
C,H,H,L
D,C,H,L
C,H,H,L
C,C,H,L
C,H,H,K
C,F,H,K
A,H,H,K
B,D,H,K
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,I,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
A,D,H,I
A,C,H,I
A,C,H,I
A,C,H,H
A,C,G,H
A,C,K,H
A,C,G,H
B,F,K,H
A,C,G,H
A,C,G,H
B,C,K,H
B,D,G,H
B,D,H,H
B,D,H,I
B,D,H,I
B,D,J,I
B,D,K,I
B,D,H,I
B,D,H,I
B,D,H,I
C,C,H,I
C,C,H,I
C,C,G,I
C,C,H,H
C,C,G,H
C,C,G,H
C,H,J,H
C,C,G,H
C,C,G,H
B,C,G,H
B,C,G,H
B,D,G,H
E,D,H,H
B,D,H,I
B,D,H,I
B,D,J,I
B,D,H,I
B,D,H,I
B,D,H,I
B,G,H,I
F,D,J,I
F,C,H,I
A,C,G,I
A,G,J,H
E,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,I,H
B,C,G,H
