a,b,c,d,e
C,C,I,L,M
C,G,I,G,M
B,D,J,L,M
F,F,K,L,M
C,D,I,L,M
C,D,I,L,M
C,D,I,L,M
F,H,I,K,H
C,D,I,K,H
E,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
D,D,I,K,H
D,D,I,K,H
D,F,I,L,H
D,F,G,K,H
D,G,J,K,H
D,F,K,J,H
D,F,G,K,H
D,F,H,K,H
D,F,J,G,J
D,H,J,L,J
D,F,J,G,J
B,F,K,G,J
D,F,J,G,J
D,D,J,G,J
D,F,I,G,J
F,C,J,G,J
C,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,C,J,G,J
D,F,J,L,J
A,F,J,G,J
A,F,J,G,J
A,H,J,G,J
F,G,J,J,H
A,C,H,G,H
D,H,H,G,H
A,G,H,G,H
C,G,H,H,I
A,H,H,H,I
A,G,H,H,I
A,D,H,H,I
A,D,G,H,I
A,G,H,H,I
A,G,H,H,I
A,F,H,H,I
C,G,H,H,I
A,F,H,G,I
A,D,G,H,I
A,G,H,H,I
A,G,H,H,I
E,G,H,H,I
E,G,H,H,I
E,H,H,L,I
E,G,H,L,I
A,D,J,H,I
E,C,G,H,I
A,D,G,H,I
C,F,H,H,I
A,C,H,K,I
F,C,H,H,M
A,C,G,H,M
A,C,I,L,M
A,C,G,L,M
E,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
E,G,K,L,M
A,C,G,L,M
A,C,G,L,M
F,C,G,L,M
C,H,G,H,M
C,F,G,L,M
C,G,G,L,M
C,F,G,L,M
C,G,J,K,M
E,F,I,J,M
C,F,I,J,K
C,H,I,I,K
E,F,I,J,K
C,F,I,J,K
D,F,I,J,K
B,F,I,J,K
A,F,I,J,K
B,F,I,J,K
B,F,I,J,K
B,C,I,J,K
D,F,J,J,K
B,C,J,G,K
B,F,J,G,H
B,F,J,G,I
B,F,K,G,I
B,F,G,I,I
B,C,K,J,I
E,C,K,J,I
B,H,K,G,I
B,F,K,G,I
B,D,K,G,I
B,F,K,G,I
C,F,K,G,I
B,F,I,G,I
B,F,G,L,I
A,F,K,L,I
A,D,K,L,I
A,F,K,L,I
A,F,K,L,I
A,F,K,H,I
A,F,K,L,I
A,F,K,L,I
A,F,I,L,I
A,D,I,L,I
A,D,I,L,I
A,D,I,H,I
A,D,I,L,I
A,D,I,L,I
A,D,I,L,I
A,D,G,L,I
A,D,G,H,I
A,G,G,L,I
A,D,G,K,I
A,D,G,K,I
A,D,G,K,I
A,G,G,K,I
A,D,I,K,I
A,D,H,K,I
A,F,H,K,J
A,H,H,K,J
A,F,H,K,J
A,F,H,K,J
A,F,H,K,J
A,F,K,K,J
A,G,H,H,J
A,C,G,K,J
A,C,H,K,J
A,C,K,H,J
A,F,I,K,J
A,C,K,J,J
A,C,K,H,J
A,C,K,K,H
A,C,K,H,H
A,H,K,J,H
A,H,K,J,H
A,C,K,J,H
A,H,K,J,H
A,H,K,J,H
A,H,K,L,H
A,H,K,I,H
A,H,K,I,H
A,H,K,L,H
A,G,K,I,H
A,H,K,G,H
A,H,K,I,H
D,H,K,G,H
D,H,K,I,H
D,H,K,L,H
D,C,K,L,H
C,F,K,L,H
D,F,K,L,H
D,F,K,L,H
D,F,K,L,H
D,F,K,G,H
D,F,J,L,H
E,F,G,L,H
D,F,K,L,H
A,F,H,I,H
D,F,G,G,H
D,F,G,L,J
D,F,G,L,J
D,D,J,J,J
D,F,G,J,J
F,F,K,J,J
E,C,G,J,J
F,F,G,J,J
F,F,G,J,J
A,F,G,J,J
F,F,H,J,J
F,F,H,I,J
F,F,H,H,J
D,F,H,J,J
F,F,H,J,J
F,F,G,J,J
F,F,H,J,J
F,F,H,G,J
F,F,H,J,J
B,F,H,J,J
F,F,H,J,J
F,F,K,J,J
F,F,H,J,J
F,F,I,J,J
F,F,H,J,J
C,F,H,H,J
C,H,H,H,J
C,H,K,L,H
E,H,K,H,H
C,H,K,H,H
C,H,K,H,H
C,C,I,H,H
B,C,K,H,H
C,H,K,I,H
C,H,G,H,H
C,H,K,H,H
C,G,K,H,H
C,D,K,J,H
C,H,K,H,H
C,H,K,H,H
E,D,K,K,H
E,H,K,K,H
E,G,K,K,H
B,H,K,K,H
E,G,K,K,H
E,G,K,K,H
A,D,H,K,H
E,G,K,K,H
E,C,K,G,H
E,G,K,K,H
E,G,K,K,H
E,F,K,J,H
E,G,K,J,H
E,G,G,K,H
E,G,K,K,H
E,G,K,L,H
C,C,H,L,H
D,G,K,L,H
E,F,K,L,H
E,G,I,L,H
F,G,K,L,H
F,G,K,L,H
B,G,K,L,H
B,C,K,H,H
B,F,K,L,H
B,G,K,L,H
B,G,K,H,H
F,G,K,L,H
D,C,H,L,H
D,G,K,I,H
F,G,K,L,H
D,G,K,G,H
D,G,J,G,H
D,G,K,G,H
D,G,K,G,H
C,G,G,G,H
C,D,K,I,H
C,D,K,J,H
C,D,I,G,H
B,G,I,G,I
D,D,I,G,I
D,G,I,G,I
C,H,I,H,I
C,H,I,J,I
D,D,I,K,H
D,C,I,K,H
C,F,I,K,H
D,D,I,K,H
D,D,I,K,H
D,F,I,K,H
D,F,I,K,H
D,F,J,K,H
D,F,J,K,H
D,F,J,K,H
D,F,J,K,H
D,H,H,J,H
D,F,J,G,H
D,F,I,K,J
D,F,J,J,J
D,F,J,H,J
