a,b,c,d
F,D,H,I
D,D,I,I
B,G,H,I
A,C,G,I
D,C,G,H
A,C,G,H
A,C,G,H
A,C,H,H
B,C,I,H
B,D,H,H
B,F,I,I
B,D,H,I
B,D,H,I
B,G,H,I
B,D,H,I
B,C,I,I
C,C,J,I
C,G,J,G
C,C,J,G
C,C,J,G
C,G,J,G
C,G,J,G
C,D,J,I
C,D,J,I
B,G,J,I
F,G,J,I
C,G,J,I
D,G,J,L
D,C,G,L
D,C,K,L
E,D,H,L
D,C,H,L
D,C,H,L
E,C,H,L
E,G,H,L
C,G,H,L
E,G,H,L
E,G,J,K
B,F,K,K
E,G,G,K
D,H,H,G
B,H,G,G
D,H,J,G
D,F,G,G
D,H,J,G
D,H,J,I
D,C,J,I
D,H,J,I
D,H,J,I
A,H,G,I
A,H,I,L
D,H,J,L
C,H,J,L
A,G,H,L
C,H,H,L
C,H,H,L
C,F,H,L
C,C,G,L
E,D,H,L
A,H,J,L
F,H,H,K
A,H,H,K
B,C,I,K
B,G,H,I
B,D,G,I
B,D,H,I
B,F,H,I
F,D,I,I
B,G,H,I
B,D,H,I
B,F,I,I
F,D,H,I
A,D,I,I
A,D,G,H
A,C,G,H
B,C,G,H
A,C,G,H
B,C,G,H
B,F,H,H
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
C,D,H,I
C,C,H,I
C,C,G,H
C,C,G,H
C,C,G,H
C,C,G,H
B,C,G,H
B,D,G,H
B,D,H,H
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
E,G,H,I
A,C,H,I
A,C,G,H
A,C,G,H
A,H,G,H
A,C,I,H
A,C,G,H
A,C,G,H
A,D,G,H
E,C,G,H
A,C,H,H
A,C,G,H
B,F,G,H
B,G,H,H
B,D,K,I
B,D,H,I
B,D,G,I
B,D,J,I
F,D,H,I
C,G,H,I
C,G,K,I
C,H,K,J
C,H,K,J
C,H,I,J
C,F,K,J
D,H,K,J
A,F,I,J
D,F,G,J
D,F,I,J
D,F,I,K
D,G,G,K
D,H,I,K
D,G,K,K
D,H,K,K
D,H,K,K
D,G,K,K
F,H,K,K
C,H,K,K
C,F,K,K
C,H,J,I
C,F,J,I
C,F,J,I
C,F,J,I
C,F,J,I
E,G,I,I
E,G,I,I
E,G,I,J
E,G,I,J
E,D,K,J
D,G,I,J
E,G,I,J
E,G,I,J
E,D,I,J
A,G,I,J
E,G,I,K
E,C,I,K
E,G,I,K
E,G,I,K
E,G,I,K
E,G,I,K
F,G,I,K
E,G,I,K
B,G,I,K
B,D,I,K
B,D,H,I
B,D,K,I
A,D,H,I
B,D,H,I
B,H,H,I
A,C,H,I
A,C,G,I
A,H,J,H
A,C,G,H
A,C,H,H
A,C,J,H
E,C,G,H
B,F,H,H
A,D,H,L
E,D,H,L
E,D,H,L
E,D,K,L
A,D,K,L
A,C,G,L
A,C,G,H
A,C,G,H
A,G,K,H
A,C,G,H
B,C,G,H
B,D,G,H
B,D,H,I
B,D,K,I
B,D,H,I
B,H,I,I
B,D,H,I
A,C,H,I
A,C,G,I
A,D,G,H
A,C,G,H
A,C,H,H
A,C,K,H
D,D,K,H
D,C,H,H
D,G,H,I
D,G,H,I
D,G,H,I
D,G,H,I
F,G,H,I
F,H,K,I
F,H,K,J
F,H,K,J
A,H,K,J
F,H,K,J
F,H,K,J
F,H,K,J
F,H,K,J
F,H,K,J
F,F,G,J
F,G,K,J
F,H,K,J
D,F,K,J
D,F,K,J
D,F,I,K
D,H,I,K
A,F,I,K
D,F,I,K
D,F,I,K
D,G,I,K
B,F,I,K
D,C,I,K
D,F,I,K
F,F,I,K
D,F,I,K
D,F,G,K
F,F,I,K
E,F,I,K
E,C,I,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,H,K,K
E,C,K,K
E,C,J,K
E,C,K,K
D,C,G,K
C,F,H,K
C,H,J,K
C,G,J,L
C,G,J,L
C,G,J,L
D,G,J,L
A,C,G,L
B,F,H,L
B,F,G,H
B,D,H,H
B,F,H,H
C,F,H,H
B,F,H,L
B,F,H,L
B,F,H,H
B,F,J,H
B,F,H,H
B,C,H,H
B,F,H,H
F,H,H,L
F,H,K,J
F,H,K,J
F,H,K,J
F,H,K,J
F,H,K,J
B,F,K,J
D,F,I,J
E,F,I,K
D,F,K,K
D,H,I,K
D,F,G,K
D,F,I,K
D,F,K,K
D,F,I,K
D,F,H,K
D,F,I,K
D,F,I,K
E,F,I,K
F,F,I,K
D,F,I,K
E,F,G,K
B,G,I,K
E,C,I,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,J,K
E,H,K,K
E,C,K,K
E,C,K,K
C,G,I,K
E,G,K,K
E,C,K,K
C,C,K,K
C,G,J,K
C,G,K,L
E,G,J,L
C,G,J,L
A,G,J,L
B,G,K,L
B,D,H,L
B,D,H,I
B,D,J,I
B,D,K,I
B,D,J,I
B,D,H,I
A,D,H,I
F,D,H,I
B,D,H,I
B,D,H,I
A,D,H,I
B,D,H,I
A,H,H,I
A,C,G,I
A,C,G,H
A,D,G,H
A,C,G,H
A,C,G,H
B,C,G,H
B,H,H,H
A,D,H,I
B,D,H,I
B,D,H,I
B,C,H,I
E,H,H,I
C,C,I,I
C,C,J,G
C,C,J,G
C,C,J,G
F,C,H,G
C,G,J,G
D,G,J,G
B,G,J,I
C,G,J,I
C,G,J,I
C,G,J,I
C,G,J,I
B,C,G,L
D,C,H,L
B,C,H,L
F,C,J,L
D,C,H,L
D,C,H,L
E,C,I,L
E,G,H,L
E,G,H,L
E,G,H,L
E,G,I,K
F,G,K,K
D,G,H,G
B,H,J,G
D,F,J,G
D,H,J,G
D,H,K,G
D,F,J,G
D,H,J,I
D,C,J,I
F,H,J,I
D,C,J,I
D,G,J,I
D,H,J,L
D,H,J,L
C,H,J,L
A,H,H,L
C,H,K,L
C,H,H,L
B,D,H,L
B,H,H,L
C,G,H,L
C,F,H,L
B,C,I,K
A,H,H,K
E,C,H,I
B,D,I,I
C,G,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
A,D,H,I
A,C,H,I
A,C,G,H
D,C,G,H
A,C,J,H
A,C,G,H
A,C,G,H
