a,b,c,d
A,C,K,H
A,C,G,H
C,C,G,H
A,C,G,H
A,C,G,H
B,C,K,H
B,D,G,H
B,D,H,I
B,H,J,I
B,D,H,I
B,G,H,I
B,C,H,I
C,H,H,I
C,H,K,I
C,H,K,J
C,H,K,J
C,H,K,J
C,G,K,J
D,H,K,J
D,F,I,J
D,F,I,J
D,F,I,J
D,F,I,K
D,F,I,K
D,F,I,K
D,H,K,K
D,H,K,K
D,H,K,K
D,H,K,K
D,H,K,K
C,H,K,K
F,F,K,K
E,F,J,I
C,F,J,I
C,F,J,I
C,F,J,I
C,F,J,I
E,G,J,I
E,G,K,I
E,G,I,J
E,G,I,J
E,G,J,J
E,G,I,J
E,G,I,J
E,G,I,J
E,G,I,J
E,G,I,J
A,G,I,K
E,G,I,K
E,G,I,K
E,G,I,K
E,F,I,K
E,G,I,K
E,G,I,K
E,G,I,K
B,G,I,K
B,C,I,K
B,D,K,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
A,C,H,I
A,C,G,I
A,C,G,H
A,C,G,H
A,F,G,H
A,C,G,H
E,C,G,H
E,F,H,H
E,D,J,L
E,D,H,L
E,D,H,L
E,D,H,L
A,D,H,L
A,C,J,L
A,C,G,H
B,D,G,H
A,C,G,H
A,C,G,H
B,C,J,H
B,D,G,H
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
A,C,H,I
A,C,G,I
A,C,G,H
A,C,K,H
A,C,G,H
A,C,G,H
B,C,G,H
D,G,H,H
D,G,H,I
D,G,H,I
D,G,H,I
D,G,H,I
F,G,H,I
F,H,K,I
F,F,K,J
F,C,K,J
F,H,K,J
F,H,K,J
F,H,K,J
F,H,K,J
F,H,G,J
F,F,G,J
F,H,K,J
F,H,K,J
F,H,K,J
D,C,K,J
D,F,I,J
A,F,I,K
E,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,K,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
E,F,I,K
E,F,I,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
C,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
C,G,K,K
C,G,J,K
C,G,J,L
C,G,H,L
C,G,H,L
E,G,J,L
B,H,J,L
B,F,H,L
B,F,H,H
A,H,H,H
B,F,H,H
B,F,H,H
B,F,H,L
C,F,H,L
B,F,H,H
B,H,H,H
B,F,H,H
B,F,H,H
C,F,H,H
F,H,H,L
F,H,K,J
F,H,K,J
F,C,K,J
F,H,K,J
F,H,K,J
D,F,K,J
D,H,I,J
D,F,I,K
F,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
A,F,I,K
D,F,I,K
D,F,I,K
B,F,I,K
D,H,I,K
D,F,I,K
D,F,I,K
E,F,I,K
E,F,I,K
E,C,K,K
A,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,G,K,K
E,C,K,K
C,D,H,K
C,G,J,K
E,G,J,L
C,G,J,L
C,G,J,L
C,G,J,L
B,G,J,L
B,D,H,L
B,D,H,I
B,D,H,I
B,D,H,I
D,D,H,I
B,D,G,I
B,D,H,I
B,D,H,I
B,D,H,I
C,D,H,I
B,H,G,I
C,D,H,I
A,C,H,I
A,C,K,I
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
B,C,G,H
B,D,J,H
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
C,D,H,I
C,C,J,I
C,C,H,G
C,C,J,G
C,C,J,G
C,F,J,G
C,G,J,G
C,G,J,G
C,G,J,I
C,G,J,I
C,G,J,I
C,G,J,I
C,G,J,I
D,C,J,L
D,C,H,L
D,H,H,L
D,C,H,L
D,C,H,L
D,C,H,L
E,C,H,L
E,G,H,L
E,G,H,L
E,G,H,L
E,G,H,K
C,G,H,K
D,G,K,G
D,G,J,G
D,H,K,G
D,H,J,G
D,H,J,G
D,H,J,G
D,G,J,I
A,H,J,I
D,H,J,I
D,H,J,I
B,H,J,I
D,H,J,L
D,F,J,L
C,H,J,L
C,H,H,L
C,H,H,L
C,H,H,L
C,H,H,L
C,H,H,L
C,H,H,L
C,H,H,L
C,H,H,K
B,H,H,K
F,H,H,I
F,D,G,I
B,H,H,I
B,D,H,I
B,D,H,I
F,D,H,I
B,D,H,I
B,D,H,I
A,D,H,I
E,C,H,I
D,C,G,H
A,C,G,H
A,C,G,H
A,D,G,H
A,H,G,H
