a,b,c
D,H,K
C,H,K
D,H,K
B,F,I
F,C,H
B,F,K
A,G,G
D,G,G
D,D,J
C,H,G
B,F,G
E,D,J
A,D,H
F,F,G
F,F,J
B,C,H
A,H,K
B,H,I
C,F,I
C,D,J
E,F,G
B,D,G
F,F,J
B,G,I
F,H,J
B,F,I
F,G,J
B,H,I
E,C,K
B,G,H
C,H,K
A,D,G
C,D,I
E,F,H
B,F,K
C,G,H
A,D,H
E,C,I
E,H,I
D,F,H
E,C,K
F,C,J
F,D,K
C,D,H
D,G,K
C,G,K
B,G,G
C,H,I
A,H,G
F,G,K
D,C,J
D,D,G
C,F,H
A,G,H
E,D,K
A,F,K
F,H,J
C,C,H
D,D,I
B,D,K
E,C,K
E,C,G
C,F,K
E,G,I
C,G,K
A,H,K
A,C,H
F,C,J
E,F,H
A,G,J
A,D,H
A,F,K
C,F,H
B,H,H
B,G,G
C,G,I
F,H,G
A,G,K
F,G,K
E,C,K
A,C,J
F,H,H
A,G,I
C,G,G
E,D,I
D,G,H
A,F,J
A,F,H
F,C,J
C,G,H
F,H,K
A,H,K
F,D,J
F,C,K
F,H,I
E,F,J
C,F,K
D,F,J
C,D,K
D,G,I
D,C,H
A,C,K
B,H,G
B,D,K
A,G,G
A,G,J
A,F,K
D,H,H
B,D,I
F,H,G
B,H,G
E,F,I
C,C,H
B,F,J
B,F,K
D,G,H
D,C,G
E,H,J
E,H,H
A,G,K
E,H,G
E,G,G
A,G,H
D,G,K
C,D,I
A,H,H
D,C,H
D,C,H
D,D,H
E,H,H
B,H,J
B,F,G
E,C,K
F,F,I
A,H,G
C,F,K
E,D,I
B,C,J
A,F,K
A,C,I
A,G,I
E,G,K
B,G,I
B,G,G
E,C,H
E,C,J
F,D,K
E,D,G
B,F,G
C,G,J
E,G,H
F,H,I
F,F,J
F,H,J
D,C,J
C,C,H
B,D,H
E,C,I
B,G,H
B,D,J
E,C,H
D,C,J
D,C,H
F,D,H
F,H,I
B,D,J
F,F,K
C,C,H
C,G,I
C,H,K
B,C,K
D,F,J
A,F,I
B,G,K
C,D,I
A,G,H
A,D,K
A,H,J
F,G,K
D,G,G
F,G,G
B,H,K
C,C,J
F,C,I
C,H,H
F,G,K
C,C,I
C,D,J
A,G,K
F,G,I
B,H,J
E,D,G
C,C,J
C,F,I
C,D,K
A,F,J
E,D,K
C,C,G
E,H,K
F,H,I
E,F,I
F,C,H
F,D,I
A,G,K
A,H,G
B,D,K
D,F,I
A,C,J
F,F,G
F,H,I
E,D,G
C,C,J
D,F,I
D,F,I
B,H,I
D,F,H
C,C,I
B,G,K
C,C,K
C,G,G
B,H,G
E,H,I
E,C,I
D,D,H
E,C,I
E,G,K
D,D,G
E,G,J
D,G,H
C,F,I
E,C,G
C,D,G
C,F,K
E,G,H
A,H,G
C,G,H
D,H,I
E,G,J
E,H,I
C,F,K
E,D,K
C,H,J
A,D,G
E,D,K
B,D,I
F,C,G
F,F,H
E,D,H
E,G,J
F,C,H
B,C,J
D,G,J
F,D,H
E,G,G
B,G,K
B,D,H
E,G,J
C,D,G
C,F,K
B,D,K
E,F,J
E,F,J
A,C,K
D,H,I
D,C,J
F,F,H
A,D,H
E,F,K
A,C,G
A,C,H
A,H,G
E,H,H
A,G,J
F,F,K
F,F,H
C,F,K
C,C,K
D,D,I
D,H,I
A,D,K
E,G,G
E,C,K
A,D,G
C,F,K
A,H,I
C,F,I
B,G,H
D,G,I
C,D,J
D,C,G
C,H,K
E,H,K
C,G,I
F,C,I
D,F,G
F,D,H
F,F,G
F,C,K
F,C,H
C,D,K
A,C,I
D,H,H
F,H,I
A,C,G
D,H,J
A,C,I
B,F,G
F,F,H
C,G,H
D,D,H
D,H,K
C,F,K
A,G,J
D,C,H
E,H,J
C,D,I
A,G,H
A,G,K
D,C,I
C,D,K
C,F,K
C,G,I
F,C,G
E,F,H
F,G,K
D,H,H
F,C,H
F,C,J
E,G,K
B,G,H
B,G,G
B,D,G
C,H,G
B,H,H
C,H,I
E,D,G
E,G,G
B,D,H
D,D,I
D,G,H
C,G,J
F,C,J
C,C,I
C,F,I
F,G,I
E,G,I
D,H,H
F,H,J
E,H,H
C,H,G
C,H,J
F,H,K
D,F,J
B,D,H
E,F,J
F,H,G
C,C,I
B,C,I
B,G,I
F,H,K
E,D,I
A,D,H
C,F,I
C,C,K
C,G,H
E,H,J
D,G,I
B,H,I
F,G,H
E,H,H
D,C,G
D,G,I
D,D,J
A,D,K
F,C,J
A,C,G
C,G,H
F,H,K
D,C,K
B,H,J
C,D,K
E,F,I
F,F,K
E,D,I
A,H,H
B,G,G
F,H,H
E,G,I
F,D,J
B,C,J
D,C,H
B,G,H
A,F,H
E,C,G
B,C,K
C,D,K
C,F,K
E,C,J
A,F,J
E,D,J
B,F,K
A,H,G
A,C,K
C,F,G
C,H,K
A,D,J
C,G,J
B,F,H
B,C,K
A,C,J
E,H,J
D,G,H
F,D,H
A,F,G
A,H,J
B,H,H
B,D,I
A,G,I
A,H,J
D,C,I
C,C,I
B,C,K
B,G,H
F,G,J
D,H,J
C,F,G
D,D,G
E,G,K
A,H,H
D,H,K
F,F,H
B,D,I
C,D,J
E,F,I
D,F,G
A,H,J
E,C,J
E,C,I
B,G,K
D,F,H
E,H,K
B,D,J
E,G,I
A,D,G
D,F,J
A,G,J
F,D,K
F,C,G
E,D,I
C,D,G
A,D,J
A,D,G
B,F,H
C,G,K
D,G,J
D,F,I
D,D,G
C,H,K
F,F,G
A,G,I
A,C,J
F,H,J
D,C,K
F,H,G
E,G,H
C,D,I
E,F,K
C,C,I
E,G,I
C,D,J
B,G,G
B,H,G
E,F,H
B,D,I
F,D,H
A,F,G
D,F,J
B,G,J
E,C,H
C,C,I
F,G,I
A,C,H
C,G,K
D,G,I
D,D,I
E,D,I
D,F,J
E,H,J
E,H,H
A,C,J
C,D,G
A,H,J
D,G,I
F,D,I
D,D,H
F,C,J
B,D,K
B,F,G
B,G,J
C,H,G
B,F,K
C,D,K
A,G,G
C,C,G
B,H,H
C,C,I
A,C,I
C,C,I
F,H,I
E,F,J
A,G,I
E,H,J
B,G,I
B,G,J
F,D,I
D,C,H
D,G,J
C,C,H
C,C,K
E,F,G
E,D,G
E,C,K
D,H,H
D,F,I
B,C,I
F,C,I
C,D,H
D,D,H
A,C,K
C,D,J
D,C,J
F,C,H
E,D,G
A,H,H
A,H,K
D,D,K
D,D,H
E,C,H
B,D,J
B,C,G
A,D,K
D,G,G
C,F,K
F,G,J
F,F,J
B,H,J
B,F,K
C,D,G
A,H,K
E,G,G
F,D,I
F,G,J
F,G,H
C,C,J
E,G,H
E,H,G
F,G,H
E,G,G
D,G,J
D,G,H
B,D,G
E,D,I
D,G,J
A,H,H
B,G,H
D,G,K
D,G,I
D,G,I
A,F,K
E,F,H
C,H,G
E,D,J
D,C,H
E,F,J
D,D,J
F,F,J
F,F,H
F,C,H
D,C,G
A,H,J
A,D,I
E,G,I
C,G,H
E,H,J
E,G,I
C,G,H
D,H,H
E,D,K
D,F,G
B,G,G
D,H,K
A,H,I
C,F,J
E,C,J
B,F,G
D,F,I
E,F,I
B,F,K
D,D,G
C,F,J
F,D,G
B,C,H
E,D,H
B,C,J
B,C,J
B,F,G
D,F,H
D,C,G
A,C,G
C,D,H
C,D,K
F,F,I
B,C,H
A,F,K
C,F,J
C,C,H
A,G,G
F,H,H
F,H,K
D,F,J
B,G,J
C,D,K
E,H,I
B,H,I
B,C,G
A,F,H
E,C,J
F,G,K
E,G,I
A,F,H
E,H,J
C,C,K
F,D,J
E,C,G
A,F,I
C,H,I
A,D,G
C,C,H
B,H,K
A,H,J
A,D,K
C,G,I
E,G,H
D,D,J
B,D,H
E,H,I
B,C,K
F,D,G
F,D,K
F,C,H
A,G,I
C,D,I
D,H,K
B,C,J
A,H,I
D,D,H
F,C,G
A,C,I
C,G,I
C,C,I
C,H,G
F,G,J
D,F,K
F,F,H
F,F,J
D,C,H
F,F,K
E,H,I
B,F,J
C,D,G
E,G,I
B,H,I
B,D,I
E,G,H
F,G,I
E,C,H
B,C,H
F,G,H
B,G,G
B,D,I
C,D,G
C,C,I
A,H,J
A,F,I
A,F,H
C,D,H
F,F,H
D,D,I
B,G,K
A,H,K
C,H,H
D,F,K
E,H,H
D,C,J
C,C,H
E,F,K
A,H,J
F,G,K
E,H,J
E,G,I
B,H,G
E,H,J
D,H,H
E,D,G
A,D,K
A,F,H
B,D,I
C,C,J
D,D,K
A,D,I
C,F,K
F,F,J
F,C,K
F,F,H
B,G,G
C,G,H
F,C,K
E,H,I
A,F,H
B,H,K
F,C,K
F,D,G
B,C,K
E,C,H
C,G,H
F,H,H
E,H,H
D,G,G
B,F,J
E,H,I
F,D,I
D,G,J
E,F,H
C,F,G
C,F,K
C,F,I
A,C,K
D,C,J
A,D,J
F,F,J
D,D,G
B,G,H
A,C,I
E,F,H
A,G,H
C,D,H
F,C,I
C,C,I
B,C,K
D,G,H
C,G,G
E,G,K
B,C,J
B,D,J
D,F,J
D,F,K
B,H,G
D,F,G
C,D,H
D,F,I
F,C,J
D,G,J
E,C,H
F,D,K
C,C,G
E,H,K
D,F,I
D,H,K
E,D,K
D,F,G
D,H,I
B,C,G
F,F,J
E,C,H
E,G,G
A,H,K
A,H,K
E,H,I
E,F,I
F,C,I
E,G,H
A,H,J
C,H,I
C,F,G
A,C,J
A,D,I
F,H,H
B,H,I
F,C,H
D,H,K
E,D,H
F,G,J
A,C,J
F,D,J
F,G,K
F,H,I
A,D,K
B,G,I
E,H,H
F,D,K
C,G,G
E,H,J
A,C,J
C,H,K
C,C,K
E,C,J
D,G,J
A,C,H
A,C,G
A,G,J
E,C,I
A,C,G
D,F,H
D,F,G
C,F,H
C,D,G
C,H,I
D,C,K
E,F,G
D,G,J
F,G,I
C,C,J
F,H,J
A,F,I
B,G,G
C,D,K
E,F,J
B,G,I
A,G,G
C,D,K
E,H,H
A,C,G
C,D,J
C,G,I
A,D,I
F,F,J
E,F,J
B,C,J
B,C,K
B,F,I
F,D,J
E,G,H
E,C,I
A,G,K
E,C,J
D,H,H
F,D,H
B,H,H
B,G,K
A,G,G
F,D,G
C,C,G
F,H,G
A,C,G
A,C,G
F,C,G
A,C,G
A,C,G
B,C,G
A,C,G
A,C,G
A,C,G
A,C,G
D,C,G
A,C,G
A,C,G
B,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,G,G
A,C,G
A,C,G
F,C,G
A,C,G
F,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,G,G
A,C,G
A,C,G
A,C,G
D,C,I
A,C,G
A,C,G
A,C,G
A,C,G
A,C,K
A,C,G
F,C,G
A,C,G
A,C,G
D,C,G
B,C,J
A,C,G
B,C,H
D,C,G
B,C,G
B,C,G
B,C,G
B,D,G
B,H,G
B,D,G
B,H,G
B,D,G
B,G,H
B,D,H
B,D,H
B,D,H
B,D,H
D,D,J
B,D,H
B,D,H
B,G,H
B,D,H
D,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
C,D,H
B,D,H
B,D,H
B,D,H
A,D,H
B,D,H
B,D,H
B,H,K
E,D,H
B,D,H
B,D,H
B,G,H
B,C,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,H,H
B,D,H
B,C,H
B,D,H
C,D,H
C,D,H
C,D,H
C,D,H
C,D,H
C,H,H
C,H,H
C,H,H
A,H,I
C,H,H
C,H,K
C,H,K
C,H,K
C,H,K
C,H,G
C,H,K
C,H,K
C,H,K
A,C,K
C,H,K
C,H,H
C,H,K
D,H,K
C,H,K
C,G,K
C,H,K
C,H,K
C,H,K
C,H,K
C,H,K
C,H,K
C,H,K
C,C,K
C,H,K
C,H,K
C,H,G
C,H,K
B,H,K
C,H,K
C,H,K
C,H,K
C,H,K
C,H,K
C,H,K
C,H,K
C,H,H
C,H,K
C,H,J
C,H,K
C,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,F,K
D,F,K
D,F,K
D,F,K
D,F,K
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,C,I
D,H,I
B,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
A,F,I
D,F,I
F,F,K
D,F,I
D,F,I
E,G,I
D,F,I
D,F,I
D,F,I
D,F,G
D,F,I
D,H,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,D,G
D,F,I
D,H,I
D,H,I
D,C,I
D,H,I
D,D,I
D,C,K
D,D,K
D,H,K
B,H,K
D,H,K
D,H,K
C,H,K
D,G,K
D,H,H
D,H,K
B,H,K
D,H,K
D,H,K
D,H,K
D,H,K
A,C,K
D,H,K
D,H,K
D,H,J
A,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
B,H,G
D,H,K
F,H,K
D,H,K
C,H,K
C,H,K
E,H,K
C,H,K
C,H,G
E,F,K
C,F,K
E,F,K
C,F,K
C,F,K
C,F,J
C,F,J
E,G,J
C,F,J
C,F,K
C,F,J
C,F,K
C,F,J
C,D,J
C,F,J
C,F,I
C,C,J
C,F,H
C,F,J
C,F,J
C,H,J
C,F,J
C,F,J
C,F,J
C,F,J
C,F,J
C,F,J
C,F,K
C,F,J
C,F,J
C,F,J
C,F,J
C,F,J
C,F,J
D,F,J
C,F,J
E,F,J
C,F,J
C,F,J
C,F,J
C,F,J
C,F,J
C,F,I
C,F,J
C,F,J
E,F,J
E,F,J
E,F,J
E,F,J
E,F,G
E,G,J
E,G,J
E,G,G
E,G,J
E,G,J
E,G,I
E,G,I
C,G,I
E,F,I
E,F,I
E,D,I
E,G,I
B,G,I
E,G,I
E,G,I
E,G,I
E,G,I
A,G,I
E,H,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,K
E,G,I
E,G,I
E,F,I
A,G,I
E,G,I
E,F,I
E,G,I
E,G,I
E,G,K
E,D,I
E,G,I
B,G,I
E,G,I
E,G,J
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,H,I
C,G,K
E,G,I
E,G,I
E,G,I
E,H,I
E,G,I
A,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,D,I
E,G,I
C,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,D,I
E,G,I
E,G,I
E,G,I
E,C,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
A,G,J
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
A,G,I
E,G,I
E,G,I
E,G,I
E,G,I
D,G,I
E,G,I
E,G,I
E,G,I
F,G,I
E,G,I
E,G,I
B,G,I
B,G,I
E,G,I
E,C,I
E,G,I
E,G,K
E,G,I
E,G,H
E,G,I
E,G,I
E,G,I
E,G,J
D,G,K
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,H
E,G,I
E,G,J
E,G,I
E,G,I
E,G,J
E,G,I
B,G,I
E,G,I
E,G,I
E,G,I
E,G,I
B,G,I
E,D,I
E,G,I
E,G,I
E,G,J
E,D,I
E,G,I
E,G,I
E,G,I
B,G,H
B,G,I
B,G,I
E,G,I
B,G,I
B,D,I
B,D,I
B,D,I
B,D,I
B,D,I
B,D,G
B,D,H
B,D,H
B,D,H
B,D,G
B,D,H
D,D,J
B,F,H
B,D,J
C,D,H
B,D,H
B,D,K
B,D,H
B,D,H
A,D,H
B,C,H
B,F,H
B,D,H
B,C,H
D,D,H
F,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
A,D,H
B,D,H
C,D,H
B,H,H
B,D,H
B,H,H
B,D,H
B,D,H
B,D,H
B,D,H
B,F,K
B,D,I
B,D,H
C,D,H
A,D,H
A,D,H
A,D,H
A,D,H
A,D,G
A,C,I
A,C,H
A,C,H
A,C,H
C,C,H
A,C,I
A,C,G
A,C,G
A,F,G
A,C,G
A,C,G
C,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
D,C,G
A,C,G
A,C,G
A,C,G
A,C,G
B,C,G
A,C,G
A,C,G
A,C,G
A,C,G
F,C,G
A,C,G
A,C,G
B,C,G
A,C,G
A,C,G
A,C,G
A,H,G
A,C,G
A,C,H
A,H,G
A,C,G
D,C,G
A,C,G
A,C,G
A,C,H
E,C,G
E,C,G
E,C,G
E,C,G
E,C,G
E,D,G
E,D,G
E,D,H
E,D,G
E,D,G
E,D,H
E,D,H
E,D,K
F,D,H
E,D,K
E,D,H
E,D,H
E,C,H
E,D,H
E,D,H
E,D,H
E,D,H
E,D,H
E,D,K
E,D,H
D,D,H
E,D,H
E,D,H
E,D,I
F,D,H
B,D,H
E,D,H
E,D,H
E,D,H
E,D,H
E,D,H
E,D,H
E,D,H
A,D,H
E,D,H
E,D,H
E,D,H
E,D,K
E,D,H
E,D,H
E,D,H
E,D,I
E,D,H
E,D,H
E,D,H
A,D,H
A,D,H
A,D,H
A,H,H
A,D,H
A,C,H
A,C,H
A,C,H
A,C,H
F,C,H
A,C,G
A,C,G
F,C,G
A,C,G
A,C,H
A,C,G
A,C,G
A,C,G
E,C,G
F,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
F,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,J
A,C,G
A,C,G
A,C,G
C,C,G
A,C,G
F,C,G
C,C,G
A,C,G
A,D,G
A,C,G
E,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
B,C,J
B,C,G
B,C,G
C,C,G
B,C,G
B,D,G
B,D,G
B,F,G
B,D,G
B,D,G
B,D,H
B,D,H
B,D,I
B,D,H
A,H,H
B,D,H
B,D,H
B,D,H
B,D,H
C,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,J
B,D,H
B,D,G
B,D,H
B,D,H
B,D,H
E,D,H
B,D,H
B,C,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,F,H
B,G,H
B,D,H
B,D,H
B,D,H
B,F,H
A,G,H
F,D,H
A,D,H
A,D,H
A,D,H
A,C,H
A,C,H
A,C,H
A,F,J
A,H,H
A,F,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,K
A,C,G
A,C,G
A,C,G
A,H,G
A,C,G
C,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,D,G
A,C,G
A,C,G
A,G,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
B,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,I
A,C,G
A,C,G
D,C,G
D,C,G
D,D,G
D,C,G
D,C,G
D,G,G
D,G,G
D,G,G
D,G,G
D,G,I
D,G,H
D,G,H
E,G,H
D,G,H
D,G,H
D,G,K
D,D,H
D,G,H
D,G,H
D,G,H
D,G,H
D,G,K
D,G,H
D,G,H
D,G,H
D,G,H
D,G,H
D,G,H
D,G,H
D,G,J
E,G,H
D,G,H
D,G,H
D,G,J
D,G,H
D,G,H
B,G,H
D,G,H
B,G,H
D,G,H
D,G,H
D,G,H
A,G,H
D,G,H
D,G,H
D,G,H
C,D,H
D,G,H
F,G,H
E,G,H
F,G,K
F,G,H
F,G,H
F,G,K
F,G,H
F,H,H
F,H,I
F,H,H
F,H,H
F,H,H
C,H,K
F,H,K
F,H,K
F,H,K
F,H,K
F,H,K
E,H,K
F,H,K
F,H,K
F,H,K
A,H,K
A,H,I
F,H,K
F,H,K
F,H,K
F,H,H
F,H,K
F,H,K
F,F,K
F,H,K
F,H,K
F,H,K
F,H,K
F,H,K
F,H,K
F,C,K
F,H,K
F,H,K
F,H,K
F,H,K
F,H,K
F,H,K
F,H,K
F,H,K
F,H,K
F,H,K
F,F,G
F,H,K
F,H,K
F,H,K
B,H,K
F,H,K
F,H,K
F,H,K
F,H,K
F,H,K
F,H,K
F,H,K
F,G,J
F,H,K
F,H,K
F,H,K
F,H,K
F,H,K
F,H,K
F,H,K
F,H,G
F,D,K
F,H,K
F,G,K
E,H,H
F,H,K
F,H,K
A,G,K
F,H,K
F,D,K
F,H,H
F,H,K
F,G,K
F,H,K
F,H,K
F,H,K
F,H,K
F,H,K
F,H,K
F,H,I
F,H,K
F,H,K
F,H,K
F,H,K
B,H,K
F,H,G
F,H,K
F,H,K
F,H,K
F,H,K
F,H,I
F,H,K
F,H,K
F,H,K
D,D,K
D,H,K
D,H,K
D,H,K
D,H,K
D,F,K
D,F,K
D,F,K
D,F,K
D,D,K
D,F,K
D,F,I
D,F,I
D,F,I
D,H,I
D,F,I
D,F,I
B,F,I
D,F,I
D,F,I
D,H,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
C,F,I
D,F,I
D,D,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
A,F,I
D,F,I
D,F,H
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,C,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,G
D,F,I
D,F,I
E,F,J
D,F,I
C,F,I
D,F,I
D,F,H
D,F,I
D,F,I
D,H,I
D,F,I
D,F,I
F,F,J
D,F,I
E,H,I
D,F,I
D,G,I
D,F,I
D,G,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,H,I
D,F,H
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,G
D,F,I
A,F,I
E,F,I
D,G,I
A,H,H
D,F,I
F,F,K
B,F,I
D,F,I
D,F,I
A,F,I
D,F,I
D,F,I
D,D,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,K
D,F,I
D,F,I
D,F,J
D,C,G
D,F,I
D,F,I
D,F,I
D,F,I
D,F,K
D,F,I
D,H,I
D,F,K
D,F,I
D,F,H
D,F,I
D,F,I
D,F,I
D,F,I
D,F,J
D,F,K
B,F,I
A,F,I
D,F,I
E,F,I
E,F,I
E,F,I
E,H,I
E,F,I
E,C,I
E,C,I
E,C,I
E,C,I
E,D,I
E,D,K
B,C,K
E,H,K
E,C,G
E,C,K
F,C,K
E,C,K
E,H,G
E,C,K
E,D,K
E,C,K
E,C,K
A,C,K
E,C,K
E,C,K
E,C,K
E,C,K
E,C,K
E,C,K
E,C,K
E,C,K
E,C,K
E,C,K
E,C,K
E,C,G
E,H,K
E,C,K
E,C,K
E,C,K
E,C,K
E,C,K
E,C,K
E,C,K
E,C,K
E,C,K
E,C,K
E,C,K
E,C,I
E,C,K
E,C,K
E,G,K
E,C,K
E,C,K
E,C,K
E,C,K
E,C,K
