a,b,c,(order)
?->?,G->F,H->K,(a;b;c)
?->?,F->?,K->G,(a;b;c)
?->D,?->H,G->I,(a;b;c)
D->D,H->H,I->K,(a;b;c)
D->C,H->?,K->G,(a;b;c)
C->?,?->?,G->?,(b;a;c)
?->B,?->D,?->H,(a;b;c)
B->A,D->C,H->G,(a;b;c)
A->B,C->D,G->H,(a;b;c)
B->C,D->?,H->?,(a;b;c)
C->B,?->D,?->H,(a;b;c)
B->A,D->C,H->G,(a;b;c)
A->B,C->D,G->H,(a;b;c)
B->C,D->?,H->I,(a;b;c)
C->D,?->?,I->J,(b;a;c)
D->D,?->?,J->K,(b;a;c)
D->C,?->?,K->?,(b;a;c)
C->?,?->G,?->K,(a;b;c)
?->?,G->H,K->?,(a;b;c)
?->?,H->F,?->?,(a;c;b)
?->B,F->D,?->H,(a;b;c)
B->A,D->C,H->G,(a;b;c)
A->E,C->?,G->?,(a;b;c)
E->A,?->C,?->G,(a;b;c)
A->B,C->D,G->H,(a;b;c)
B->A,D->C,H->G,(a;b;c)
A->D,C->?,G->?,(a;b;c)
D->F,?->?,?->?,(b;c;a)
F->?,?->?,?->?,(b;c;a)
?->D,?->F,?->I,(a;b;c)
D->D,F->?,I->G,(a;b;c)
D->?,?->?,G->?,(b;a;c)
?->E,?->C,?->K,(a;b;c)
E->?,C->?,K->?,(a;b;c)
?->?,?->?,?->J,(a;b;c)
?->B,?->?,J->?,(b;a;c)
B->?,?->?,?->?,(b;c;a)
?->D,?->F,?->I,(a;b;c)
D->E,F->C,I->K,(a;b;c)
E->C,C->G,K->?,(a;b;c)
C->B,G->?,?->G,(a;b;c)
B->B,?->?,G->J,(a;b;c)
B->F,?->?,J->H,(b;a;c)
F->?,?->C,H->G,(a;b;c)
?->?,C->G,G->J,(a;b;c)
?->?,G->G,J->H,(a;b;c)
?->?,G->F,H->K,(a;b;c)
?->?,F->?,K->G,(a;b;c)
?->D,?->H,G->I,(a;b;c)
D->D,H->H,I->K,(a;b;c)
D->C,H->?,K->G,(a;b;c)
C->?,?->?,G->?,(b;a;c)
?->B,?->D,?->H,(a;b;c)
B->A,D->?,H->?,(a;b;c)
A->B,?->D,?->H,(a;b;c)
B->C,D->?,H->?,(a;b;c)
C->B,?->D,?->H,(a;b;c)
B->A,D->?,H->?,(a;b;c)
