a,b,c,d,e
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,G,G,J
D,F,G,G,J
D,F,J,J,J
A,F,J,J,J
A,D,J,G,J
A,F,J,G,J
C,D,J,J,J
A,F,J,G,J
E,H,J,L,J
A,H,G,G,J
A,H,J,G,J
A,H,J,G,J
A,H,J,G,J
A,G,H,G,H
A,H,J,G,H
E,H,I,G,H
E,H,G,G,H
A,G,J,G,H
A,H,J,G,H
A,H,G,G,H
A,H,I,G,H
A,H,G,G,H
A,H,J,K,H
A,G,G,G,H
A,G,G,G,H
A,G,J,K,H
A,C,G,G,H
A,D,G,H,H
A,G,G,G,I
A,G,G,L,I
A,G,G,G,I
A,G,G,G,I
A,C,G,G,I
A,G,G,G,I
A,G,G,H,I
A,G,G,G,I
A,G,G,G,I
A,G,G,G,I
A,G,G,G,I
A,G,H,G,I
A,D,G,G,I
B,H,G,G,I
A,G,G,G,I
A,G,G,G,I
A,G,G,G,I
E,C,K,G,I
E,G,J,G,I
A,G,H,G,I
A,F,H,K,I
A,G,H,G,I
A,F,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
F,G,H,I,I
A,G,H,G,I
A,G,H,H,I
A,G,I,G,I
A,C,H,G,I
A,D,H,G,I
A,H,H,G,I
A,G,H,G,I
A,G,H,G,I
A,C,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,K,G,I
A,G,J,G,I
A,F,K,G,I
A,G,H,G,I
A,G,H,G,I
E,G,H,G,I
A,G,G,J,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,K,G,I
A,G,H,G,I
B,G,H,G,I
A,G,G,K,I
B,G,H,L,I
E,G,H,I,I
E,G,H,G,I
E,G,H,G,I
A,G,H,G,I
E,G,H,G,I
D,G,H,G,I
E,G,H,G,I
B,G,J,L,I
D,F,H,G,I
A,G,J,G,I
E,G,H,G,I
E,G,H,L,I
B,G,J,G,I
E,G,H,G,I
E,G,I,G,I
E,F,K,I,I
E,G,H,G,I
E,G,G,G,I
E,G,H,G,I
B,G,H,G,I
A,G,H,G,I
A,G,J,G,I
A,G,K,G,I
A,G,K,G,I
A,G,H,G,I
B,C,H,G,I
A,G,J,L,I
A,C,H,G,I
C,G,J,G,I
A,G,H,G,I
A,F,H,K,I
A,C,I,G,I
A,C,H,G,I
A,C,H,L,I
A,C,I,I,I
E,C,H,G,L
A,C,H,G,L
A,C,H,G,L
A,C,G,G,L
A,C,G,G,L
A,G,G,G,L
F,G,G,J,L
A,C,G,G,L
A,C,G,L,L
E,H,G,L,L
C,C,G,L,L
A,G,G,H,L
A,C,G,I,L
A,C,J,L,M
A,C,J,L,M
A,C,J,L,M
A,C,G,I,M
A,C,G,L,M
A,C,G,L,M
E,D,G,L,M
A,C,G,L,M
A,C,K,L,M
A,C,G,L,M
F,C,G,L,M
A,C,K,L,M
A,C,G,K,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
B,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,H,L,M
A,H,G,L,M
F,G,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,K,G,M
A,C,G,L,M
A,C,K,L,M
A,C,G,L,M
A,C,G,K,M
A,C,G,L,M
A,C,J,L,M
A,C,G,L,M
F,C,H,I,M
A,C,G,L,M
F,C,G,L,M
E,D,G,L,M
D,C,H,L,M
D,C,K,L,M
C,C,G,L,M
B,C,G,L,M
C,G,G,L,M
F,C,G,L,M
C,C,G,L,M
C,G,G,L,M
F,F,H,L,M
C,C,G,I,M
C,C,J,L,M
C,C,G,L,M
C,F,G,L,M
F,F,G,L,M
C,F,G,L,M
C,F,G,L,M
C,G,G,L,M
C,G,G,L,M
F,F,G,L,M
C,F,H,L,M
F,F,I,L,M
C,F,I,K,M
C,F,H,L,M
E,G,J,L,M
C,H,I,L,M
C,F,I,H,M
B,F,I,J,M
C,F,I,J,M
C,F,I,J,M
C,F,I,L,M
C,C,I,J,K
C,F,I,L,K
C,F,I,J,K
C,C,I,J,K
C,F,I,J,K
C,F,I,J,K
C,G,I,J,K
C,F,I,J,K
C,F,I,J,K
F,F,I,J,K
C,F,I,J,K
C,D,I,J,K
C,H,I,J,K
C,F,K,J,K
C,F,I,J,K
C,F,I,G,K
C,C,K,J,K
C,F,I,J,K
C,H,I,J,K
C,F,I,J,K
C,F,H,J,K
B,F,K,J,K
C,D,I,L,K
B,G,I,J,K
B,F,I,J,K
B,F,J,J,K
B,F,I,J,K
B,F,H,J,K
B,F,I,I,K
A,F,I,J,K
B,F,I,J,K
B,F,I,J,K
B,G,J,J,K
B,D,I,I,K
B,D,I,H,K
F,D,K,J,K
D,D,I,J,K
B,D,I,K,K
B,F,I,J,K
B,C,I,J,K
B,D,J,J,K
B,D,J,G,K
B,D,H,L,K
B,D,G,J,K
B,D,H,J,K
B,D,J,J,K
B,D,J,H,K
B,D,J,I,K
D,G,K,I,K
B,G,J,K,K
B,D,J,I,L
B,D,J,I,L
F,D,J,I,L
E,D,J,I,L
B,C,J,J,L
B,D,J,I,L
B,D,J,G,L
B,D,J,K,L
B,D,I,I,L
B,D,J,G,L
B,G,I,I,L
B,D,J,I,L
B,D,J,I,L
D,D,G,I,L
B,F,J,K,L
B,D,J,I,L
B,D,J,H,L
C,F,G,I,L
B,D,J,I,L
C,D,J,J,L
B,D,J,L,L
B,D,K,G,L
B,H,J,I,L
B,D,J,K,L
C,D,J,I,L
B,D,J,L,L
B,D,J,L,L
C,D,J,I,L
B,D,J,I,L
B,D,J,I,L
D,D,J,I,L
B,D,J,G,L
B,D,J,I,L
B,D,J,I,L
D,D,G,I,L
B,D,J,I,L
B,D,I,I,L
A,D,H,I,L
B,D,J,I,L
B,D,J,I,L
B,D,J,J,L
E,D,K,J,L
B,C,K,J,L
B,D,G,I,L
B,D,K,J,L
B,D,K,J,L
F,D,K,J,L
C,D,K,J,L
B,F,J,G,L
B,D,K,J,L
B,D,K,J,L
B,D,G,J,L
A,D,K,I,L
A,D,K,J,L
A,H,K,J,L
A,D,K,J,L
A,D,K,J,L
A,D,K,J,L
A,C,J,J,L
A,H,K,J,L
A,D,H,J,L
A,D,K,J,L
A,D,K,J,L
A,D,K,J,L
A,C,K,J,L
A,D,K,J,L
A,D,K,J,L
A,D,I,J,L
A,F,H,J,L
A,D,H,G,L
A,D,J,J,L
A,D,H,G,M
A,D,H,J,M
A,C,H,J,M
A,D,H,J,M
A,D,H,J,M
A,D,H,H,M
A,H,H,H,M
A,D,H,H,M
A,D,H,I,M
A,D,H,H,M
A,D,H,K,M
A,D,H,J,M
A,D,H,H,M
A,D,H,H,M
A,D,H,H,M
A,D,H,H,M
A,H,H,H,M
A,H,H,J,M
A,D,H,I,M
A,D,K,H,M
A,D,H,K,M
A,D,H,G,M
A,D,H,H,M
A,H,H,H,M
A,C,K,H,M
A,D,H,H,H
A,F,H,H,H
A,D,J,H,H
A,D,H,H,H
A,D,H,H,H
A,D,J,H,H
A,D,H,H,H
A,D,H,H,H
A,D,K,H,H
A,D,H,L,H
A,D,H,H,H
A,C,J,H,H
A,C,H,H,H
A,C,H,H,H
A,C,I,G,H
A,C,H,H,H
A,C,H,H,H
A,G,H,H,H
A,C,H,H,H
A,C,H,H,H
A,C,H,H,H
A,C,H,H,H
A,C,H,H,H
A,C,H,G,H
A,C,G,H,H
A,G,H,H,H
A,C,H,H,H
A,C,H,H,H
A,C,H,H,H
A,C,H,I,H
A,C,H,H,H
A,C,H,H,H
A,C,H,I,H
A,C,G,H,H
A,C,J,G,H
A,C,H,H,H
A,C,I,K,H
A,C,H,G,I
A,C,H,H,I
A,C,H,H,I
A,C,H,H,I
A,C,H,H,I
A,C,H,G,I
A,F,I,H,I
A,C,H,H,I
A,C,H,H,I
A,H,H,K,I
A,H,H,H,I
A,C,H,L,I
A,C,H,H,I
A,C,H,H,I
A,C,H,H,I
A,C,I,K,I
A,H,H,H,I
A,C,H,K,I
A,C,I,H,I
A,H,I,H,I
A,H,G,H,I
A,H,G,H,I
A,H,G,K,I
A,C,G,K,I
A,H,G,K,I
A,H,I,K,I
A,H,G,K,I
A,H,G,L,I
A,H,G,K,I
A,H,G,K,I
A,H,G,K,I
A,H,G,K,I
A,H,G,J,I
A,H,G,I,I
A,H,G,K,I
A,G,G,I,I
A,F,G,K,I
A,H,G,K,I
A,H,G,K,I
A,H,G,K,I
A,C,G,K,K
A,H,G,I,K
A,H,G,K,K
A,H,G,K,K
A,H,G,K,K
A,H,G,K,K
A,H,H,K,K
A,H,J,K,K
A,H,G,K,K
A,H,H,K,K
A,H,G,K,K
A,H,G,K,K
A,H,K,K,K
A,H,G,K,K
A,H,G,I,K
A,H,J,K,K
A,H,G,K,K
A,H,I,G,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,C,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,C,K,K,K
A,H,K,K,K
A,H,I,K,K
A,D,I,K,K
A,G,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,H,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,F,I,K,K
A,H,I,J,K
A,H,I,J,K
A,H,I,I,K
A,H,I,J,K
A,H,I,J,K
A,F,I,K,K
A,H,I,J,K
A,H,I,J,K
A,H,I,J,K
A,H,I,J,K
A,H,I,J,K
A,H,I,J,K
A,H,K,H,K
A,H,H,J,K
A,H,I,J,K
A,F,I,J,K
A,H,I,J,K
A,H,I,J,K
A,H,I,J,K
A,H,G,J,K
A,H,I,J,K
A,H,I,J,K
A,H,I,J,K
A,H,I,L,K
A,H,I,L,K
A,H,I,L,K
A,H,I,J,K
A,H,I,J,K
A,H,I,J,K
A,H,I,J,K
A,H,I,J,K
A,H,I,J,K
A,H,J,J,K
A,G,I,J,K
D,H,G,J,K
D,H,H,J,K
F,H,H,J,K
D,D,H,L,K
D,G,I,J,K
D,H,J,K,K
D,H,K,J,J
D,H,K,J,J
F,H,H,J,J
F,H,H,J,J
D,H,H,J,J
D,F,H,J,J
D,H,H,K,J
D,H,H,L,J
D,H,H,H,J
C,H,H,G,J
D,H,I,G,J
C,H,H,G,J
D,H,H,G,J
D,H,H,G,J
F,H,J,G,J
E,H,H,G,J
D,H,H,L,J
A,D,H,G,J
D,G,I,G,J
D,F,H,G,J
D,H,H,G,J
D,H,I,G,J
F,H,G,G,J
D,G,H,L,J
C,H,G,G,J
D,H,H,G,J
D,H,H,J,J
D,H,J,G,J
D,H,I,J,J
D,D,H,J,J
D,D,H,J,J
D,H,H,J,J
C,H,H,J,J
D,H,H,J,J
D,H,H,J,J
D,H,H,J,J
D,H,H,J,J
F,H,H,H,J
D,H,H,H,J
D,H,H,J,J
D,H,H,J,J
D,D,I,J,J
D,H,H,J,J
D,H,H,K,J
D,H,H,L,J
D,G,H,J,J
D,F,H,G,J
D,F,H,J,J
D,D,H,J,J
D,H,H,J,J
E,H,H,L,J
D,H,H,J,J
D,H,H,J,J
D,H,H,J,J
D,H,H,J,J
D,H,H,J,J
A,H,H,G,J
D,H,I,J,J
D,H,H,J,J
D,H,H,J,J
C,H,H,J,J
D,H,H,J,J
D,H,H,J,J
D,H,H,J,J
F,H,H,J,J
F,H,G,J,J
F,F,H,J,J
C,H,H,J,J
F,H,H,J,J
F,F,H,J,J
F,D,H,G,J
F,F,K,L,J
F,C,H,J,J
F,F,H,J,J
F,F,H,K,J
F,F,H,H,J
D,F,H,I,J
F,G,K,I,J
C,F,K,I,J
F,F,K,I,J
F,G,K,I,J
F,F,H,L,J
F,D,J,I,H
C,F,K,I,H
F,F,K,I,H
F,F,K,J,H
F,F,J,J,H
F,C,K,G,H
F,H,K,J,H
B,F,K,J,H
F,F,K,J,L
E,F,K,G,L
F,C,K,J,L
F,H,J,J,L
F,F,K,I,L
F,H,K,J,L
F,F,K,J,L
E,F,K,J,L
A,F,J,J,L
F,F,K,J,L
F,F,K,I,L
E,F,K,J,L
F,F,K,J,L
F,F,K,J,L
F,F,G,J,L
F,F,K,J,L
F,F,J,L,L
F,F,K,J,L
F,F,K,J,L
F,F,K,L,L
E,F,K,J,L
F,F,G,J,L
F,F,I,J,L
F,F,K,J,L
F,F,K,J,L
B,C,K,J,L
F,F,J,J,L
B,F,K,J,L
F,F,K,J,L
F,F,K,J,L
F,F,J,L,L
F,F,K,J,L
F,D,K,J,L
F,F,K,J,L
F,F,K,J,L
F,F,K,J,L
F,F,K,J,L
C,F,K,J,L
F,F,K,J,L
F,F,K,J,L
F,H,K,J,L
F,D,H,H,L
F,F,K,J,L
F,F,K,J,L
F,H,K,I,L
F,H,K,J,L
F,F,K,J,L
F,F,K,J,L
C,F,K,J,L
F,F,K,J,L
F,F,K,J,L
F,F,K,J,L
F,H,K,K,L
F,F,K,J,L
F,D,K,J,L
C,F,K,J,L
C,F,K,J,L
C,F,K,I,L
C,F,K,J,L
C,G,K,J,L
D,G,J,J,L
C,F,K,H,L
C,F,K,J,L
C,G,K,J,L
D,G,K,J,L
C,G,K,J,L
C,G,K,H,L
C,G,G,I,L
C,G,G,J,L
D,G,I,G,L
C,G,G,J,L
C,G,G,J,L
C,G,J,J,L
C,G,G,J,L
C,G,G,J,L
C,G,G,L,L
C,F,G,L,L
D,G,G,L,L
C,G,G,L,L
C,G,G,L,L
C,G,G,L,M
C,G,J,L,M
C,G,G,L,M
F,G,J,L,M
C,D,G,H,M
C,G,G,L,M
C,G,G,L,M
C,G,G,L,M
C,G,G,I,M
C,F,G,H,M
A,G,G,L,M
C,D,G,L,M
C,G,G,L,M
C,C,G,L,M
C,D,G,L,M
C,F,G,L,M
F,G,G,H,M
C,G,K,L,M
C,G,G,L,M
B,G,G,L,M
C,G,G,J,M
C,D,I,G,M
C,C,G,L,M
C,G,G,L,M
C,F,J,L,M
C,G,G,L,M
C,G,G,I,M
D,G,G,J,M
D,G,G,K,M
C,G,G,L,M
C,D,G,L,M
C,G,G,L,M
E,F,G,L,M
E,G,G,L,M
F,H,G,L,M
E,G,G,I,M
E,G,G,L,M
E,G,G,G,M
E,G,G,L,M
E,D,K,G,M
E,D,G,K,M
E,D,G,K,M
F,D,K,L,M
E,F,G,L,M
E,D,G,I,M
E,D,G,L,M
A,D,G,L,M
E,D,J,L,M
E,D,J,L,M
E,F,J,L,M
E,H,J,L,M
C,D,J,L,M
E,D,G,L,M
C,D,J,L,M
C,G,J,L,M
E,C,J,I,M
E,D,J,J,M
E,D,J,K,M
E,D,J,J,M
E,H,J,J,M
E,G,J,J,H
E,D,J,J,H
E,D,I,J,H
E,D,J,J,H
E,C,J,J,H
E,D,J,J,H
E,D,J,J,H
E,H,J,J,H
E,D,I,G,H
E,D,I,H,H
E,D,I,J,H
E,D,I,K,H
B,D,I,J,H
E,D,I,G,H
E,D,I,J,H
E,G,I,J,H
E,D,J,J,H
E,D,I,J,H
F,D,I,J,H
E,D,I,I,H
E,D,I,K,K
E,D,I,K,K
E,D,I,J,K
A,D,I,K,K
E,D,I,K,K
E,C,I,J,K
E,D,I,K,K
E,D,I,K,K
E,H,I,K,K
E,D,I,K,K
E,F,I,I,K
E,D,I,K,K
E,F,K,H,K
E,F,K,K,K
C,D,H,K,K
E,D,K,I,K
E,D,K,K,K
E,D,K,K,K
E,H,K,K,K
D,D,K,K,K
E,D,K,K,K
C,D,K,K,K
E,D,K,L,K
F,D,K,G,K
E,C,K,I,K
E,D,K,K,K
E,D,K,K,K
E,D,K,I,K
E,D,K,K,K
E,D,K,K,K
E,D,H,K,K
E,D,K,K,K
E,D,K,K,K
E,D,G,K,K
E,H,K,K,K
E,D,K,K,K
E,D,G,K,K
E,G,G,K,H
E,G,G,K,H
E,D,I,K,H
D,D,G,K,H
E,D,G,L,H
E,D,G,K,H
E,D,G,K,H
B,D,G,K,H
B,F,G,K,H
F,D,G,K,H
B,D,G,J,H
B,F,J,J,H
B,D,G,J,H
B,D,G,J,H
B,G,G,G,H
F,H,G,J,H
E,C,G,H,H
C,D,G,J,H
B,D,G,J,H
F,C,G,J,H
B,G,G,J,H
B,D,G,G,H
B,D,J,J,H
B,D,G,J,H
D,D,G,J,H
B,D,J,H,H
B,D,G,J,H
D,D,G,J,H
D,F,G,J,H
D,D,I,J,H
F,H,G,J,M
D,D,H,J,M
D,D,J,J,M
F,D,G,H,M
F,C,G,K,M
D,D,G,J,M
D,D,G,J,M
A,D,G,I,M
C,D,G,J,M
E,D,G,L,M
B,D,G,J,M
D,D,G,J,M
A,D,G,I,M
D,F,G,I,M
D,D,G,J,M
D,D,I,G,M
F,D,G,J,M
E,D,H,J,M
D,H,G,J,M
D,F,I,H,M
E,D,H,K,M
D,G,H,G,M
D,F,G,J,M
D,H,J,J,M
D,D,G,J,M
D,D,G,J,M
D,D,J,J,M
C,D,G,J,M
D,H,J,J,M
C,D,G,J,M
C,D,G,J,M
C,D,I,J,M
B,D,G,J,M
C,D,G,J,M
C,D,G,J,M
C,D,I,J,M
C,D,I,J,M
C,D,I,J,M
C,D,I,J,M
C,F,I,J,M
C,D,I,J,M
C,D,J,J,M
A,D,I,I,M
C,D,H,J,M
C,D,I,L,M
C,D,I,J,M
C,D,H,J,M
C,D,I,J,M
C,D,I,J,M
C,D,I,J,M
C,D,I,G,M
D,D,J,J,M
A,D,J,J,M
C,H,I,J,M
C,D,H,J,M
C,D,I,J,M
C,D,I,J,M
C,D,I,H,M
C,G,I,K,M
B,D,I,K,H
A,D,J,K,H
C,D,I,J,H
C,D,I,J,H
C,D,I,K,H
C,D,I,K,H
C,G,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,H,I,K,H
C,G,I,K,H
C,D,J,K,H
C,D,J,I,H
C,D,I,K,H
C,D,G,K,H
D,D,I,K,H
D,D,I,L,H
D,D,G,L,H
D,D,G,J,H
D,D,I,L,H
D,F,I,K,H
E,C,I,J,H
D,F,I,K,H
D,C,J,K,H
D,F,J,K,H
D,F,H,K,H
D,F,J,K,H
B,H,J,K,H
A,F,J,K,H
D,F,J,I,H
D,F,J,I,H
F,F,J,K,H
D,F,J,G,H
D,F,J,K,H
D,H,J,K,H
D,H,J,K,H
D,G,J,K,H
D,H,J,K,H
D,F,J,K,H
D,H,H,K,H
D,H,J,H,H
D,H,K,K,H
D,H,J,K,H
D,G,J,K,H
D,H,K,K,H
D,G,J,G,H
A,H,J,G,H
D,C,K,G,J
D,H,J,G,J
D,H,J,G,J
D,H,J,G,J
D,H,J,G,J
D,H,J,G,J
D,C,J,J,J
D,H,J,G,J
D,G,J,G,J
D,F,J,G,J
D,H,J,G,J
D,H,I,G,J
D,H,J,L,J
D,H,G,G,J
D,H,J,G,J
D,H,G,G,J
D,C,J,G,J
D,H,J,G,J
D,H,I,G,J
D,D,G,G,J
C,H,J,G,J
D,G,J,G,J
D,H,J,I,J
B,H,J,G,J
D,H,J,G,J
D,H,I,G,J
E,H,J,G,J
D,H,K,G,J
A,H,J,G,J
A,G,J,G,J
A,H,J,G,J
A,G,I,G,J
A,H,J,G,J
A,H,J,G,J
A,C,J,I,J
A,H,J,J,J
A,H,J,G,J
C,H,J,G,J
A,H,J,G,J
A,D,J,G,J
A,H,J,G,J
A,G,J,G,J
A,H,J,K,J
A,H,J,G,J
A,D,J,G,J
A,H,J,G,J
D,H,J,G,J
A,H,I,G,J
E,G,J,G,J
A,G,J,G,J
A,G,I,G,J
C,G,J,H,J
D,G,J,H,J
A,G,J,G,I
A,D,J,G,I
A,G,J,L,I
C,G,K,G,I
A,C,G,G,I
A,D,K,G,I
A,G,K,G,I
A,H,K,G,I
A,G,K,G,I
B,G,K,K,I
A,F,K,G,I
A,G,K,G,I
A,G,K,G,I
A,F,K,G,I
A,G,K,G,I
B,G,K,K,I
E,G,K,G,I
E,G,K,L,I
E,G,H,G,I
E,G,K,L,I
E,G,K,G,I
E,G,K,G,I
E,G,I,G,I
E,G,J,L,I
E,G,K,G,I
E,G,K,L,I
E,D,K,L,I
E,G,J,L,I
B,G,K,L,I
E,G,K,L,I
E,G,K,L,I
E,G,K,I,I
E,F,K,L,I
E,G,K,L,I
C,G,G,L,I
E,D,H,L,I
E,G,K,I,I
E,G,K,G,I
E,G,K,L,I
E,G,K,L,I
E,G,K,L,I
A,G,K,L,I
D,G,K,L,I
E,G,G,L,I
E,H,K,L,I
E,G,K,L,I
E,G,I,L,I
E,D,K,G,I
E,C,K,H,I
E,G,K,L,I
E,G,K,G,I
E,D,K,L,I
E,G,K,L,I
E,G,K,L,I
E,H,K,K,I
E,F,K,L,I
E,C,K,I,I
E,C,J,L,I
E,C,K,L,I
E,D,K,L,I
E,C,K,J,M
E,C,K,L,M
E,H,K,L,M
E,H,I,L,M
E,C,I,I,M
A,C,I,L,M
A,H,I,L,M
A,C,I,L,M
A,D,I,J,M
B,C,I,G,M
A,C,I,J,M
F,C,I,L,M
A,C,I,I,M
A,H,I,L,M
A,C,I,L,M
A,C,I,L,M
A,F,J,G,M
A,G,I,L,M
A,G,I,L,M
A,C,I,L,M
B,C,I,H,M
A,C,I,J,M
F,C,I,I,M
A,C,G,L,M
A,C,H,L,M
A,C,I,L,M
A,C,I,L,M
A,C,I,L,M
A,C,I,L,M
A,C,G,K,M
A,C,I,L,M
E,C,I,K,M
A,C,I,L,M
A,C,K,L,M
A,C,I,L,M
B,C,I,L,M
D,C,I,L,M
A,C,I,L,M
D,C,I,L,M
C,C,K,I,M
A,C,I,L,M
A,D,I,L,M
A,C,I,L,M
E,C,I,L,M
A,C,I,J,M
A,C,I,L,M
E,C,I,L,M
A,C,I,L,M
D,C,I,H,M
A,C,I,L,M
D,C,I,L,M
A,F,J,L,M
A,C,I,L,M
A,C,I,H,M
A,C,I,L,M
C,C,I,L,M
C,G,I,I,M
C,C,I,L,M
C,C,I,L,M
D,C,I,L,M
C,D,I,L,M
C,G,I,G,M
C,D,I,L,M
C,D,I,L,M
C,F,I,L,M
B,D,J,L,M
C,C,I,L,M
C,D,I,L,M
C,C,I,K,M
F,F,K,L,M
C,D,I,L,M
C,C,I,L,M
F,G,H,J,M
C,D,I,L,M
C,D,I,I,M
C,D,I,H,M
C,D,I,L,M
C,D,I,L,M
C,D,H,L,M
A,D,I,L,M
C,D,I,L,M
C,D,I,L,M
C,D,I,K,M
C,D,I,H,M
C,C,I,K,H
F,H,I,K,H
B,D,I,K,H
F,D,I,L,H
C,F,I,K,H
C,D,I,K,H
C,D,G,K,H
C,D,I,K,H
C,D,I,K,H
E,D,I,K,H
C,G,I,L,H
C,D,H,K,H
C,C,I,K,H
C,D,I,K,H
C,G,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,G,H
C,D,I,K,H
C,D,I,K,H
C,H,I,K,H
C,D,I,I,H
C,D,I,L,H
C,D,I,K,H
C,D,I,L,H
C,D,I,K,H
C,G,I,I,H
D,D,I,K,H
C,D,I,K,H
D,D,I,G,H
D,D,H,K,H
D,D,I,K,H
D,D,I,K,H
D,D,I,K,H
D,D,I,K,H
D,F,I,L,H
D,D,I,K,H
D,F,I,K,H
B,F,I,G,H
D,F,G,K,H
D,C,I,L,H
D,F,I,K,H
D,F,J,J,H
D,G,J,K,H
D,F,J,K,H
D,G,K,I,H
A,F,J,K,H
D,F,K,J,H
C,F,J,J,H
E,F,J,K,H
F,F,J,K,H
D,F,G,K,H
D,F,J,K,H
D,G,J,K,H
D,F,J,K,H
D,F,H,K,H
D,F,K,I,H
D,F,H,G,H
D,C,J,G,J
D,F,J,G,J
C,G,G,G,J
D,C,J,G,J
D,F,J,G,J
D,H,J,L,J
E,F,J,G,J
D,F,J,G,J
D,G,J,G,J
