a,b,c,d
D,G,K,K
D,H,K,K
C,F,K,K
E,F,J,I
C,F,J,I
C,F,J,I
E,G,I,I
E,G,I,J
E,G,I,J
E,H,H,J
E,G,I,J
E,G,I,J
A,G,I,J
E,G,I,K
E,G,I,K
E,C,I,K
E,G,I,K
E,G,I,K
B,G,I,K
B,D,H,K
B,D,K,I
B,D,H,I
B,H,H,I
B,C,G,I
A,H,J,H
A,C,G,H
A,C,J,H
E,D,G,H
A,D,H,L
E,H,H,L
E,D,K,L
A,F,H,L
A,C,G,H
A,C,G,H
A,C,G,H
F,C,G,H
B,D,H,I
B,H,K,I
B,H,I,I
E,D,H,I
A,C,G,I
A,C,G,H
A,C,H,H
D,C,G,H
D,C,H,H
D,D,H,I
D,G,H,I
C,G,K,I
F,H,K,I
E,H,K,J
A,H,K,J
E,H,K,J
F,H,K,J
F,G,K,J
F,F,G,J
F,H,K,J
D,F,K,J
D,F,I,K
D,H,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,C,I,K
D,F,I,K
D,F,I,K
A,H,I,K
E,F,I,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,K,K
D,C,G,K
C,G,K,K
C,G,J,L
F,G,J,L
D,G,J,L
B,F,I,L
B,F,G,H
D,D,H,H
C,F,H,H
B,F,H,L
B,F,H,H
B,F,H,H
B,C,H,H
E,F,H,L
F,H,K,J
F,H,K,J
F,H,K,J
D,D,K,J
D,F,I,J
D,F,I,K
D,H,I,K
D,G,I,K
D,F,K,K
D,F,G,K
D,F,I,K
D,F,I,K
F,F,I,K
D,F,I,K
B,G,I,K
C,C,K,K
E,C,K,K
E,C,I,K
E,H,K,K
E,C,K,K
C,G,I,K
E,C,K,K
C,C,K,K
A,G,J,L
E,G,J,L
C,H,J,L
B,G,K,L
C,D,H,L
B,D,J,I
B,D,K,I
B,D,H,I
B,D,H,I
B,D,H,I
A,G,H,I
B,D,H,I
A,C,G,I
A,C,G,H
B,C,G,H
A,C,G,H
B,D,G,H
A,D,H,I
B,D,H,I
B,C,H,I
C,H,I,I
C,C,J,G
D,C,J,G
F,C,H,G
C,G,J,G
B,G,J,I
A,G,H,I
C,G,J,I
C,G,G,L
D,C,H,L
D,C,H,L
D,C,H,L
E,H,H,L
E,G,H,L
E,G,I,L
E,G,I,K
E,G,H,K
B,H,J,G
D,F,H,G
D,H,K,G
D,H,J,I
D,C,J,I
B,H,J,I
D,G,J,I
D,H,J,L
C,H,J,L
C,H,H,L
C,H,H,L
C,H,H,L
C,G,H,L
C,H,H,K
A,H,H,K
B,D,H,I
C,G,H,I
B,G,H,I
B,D,H,I
B,D,H,I
A,D,H,I
A,C,G,I
D,C,G,H
A,C,G,H
A,C,G,H
