a,b,c,d,e
D,F,K,L,H
C,F,K,L,H
D,D,K,L,H
D,F,K,L,H
D,F,K,K,H
E,F,G,L,H
D,F,K,L,H
D,F,G,G,H
D,F,K,L,J
D,D,J,J,J
C,F,G,G,J
E,C,G,J,J
F,F,G,J,J
A,F,G,J,J
F,F,G,J,J
F,F,H,H,J
F,F,H,K,J
F,F,G,J,J
F,F,H,J,J
F,F,H,J,J
C,C,H,J,J
F,F,K,J,J
F,F,H,K,J
F,F,H,J,J
C,F,H,H,J
C,H,K,L,H
C,H,G,H,H
C,H,K,H,H
C,H,K,H,H
C,H,K,I,H
B,G,K,H,H
C,G,K,H,H
C,G,K,G,H
C,H,K,H,H
F,G,K,K,H
E,G,K,K,H
C,G,K,G,H
E,G,K,K,H
E,G,J,K,H
E,C,K,G,H
E,C,K,K,H
E,F,K,J,H
E,G,K,K,H
E,G,K,K,H
E,G,K,L,H
D,G,K,L,H
E,G,K,L,H
F,G,K,L,H
E,G,K,L,H
B,C,K,H,H
B,G,K,L,H
B,G,K,H,H
D,G,K,K,H
D,G,K,I,H
D,G,I,K,H
D,G,J,G,H
D,D,K,G,H
C,G,G,G,H
C,D,K,G,H
C,D,I,G,H
C,D,I,I,I
D,G,I,G,I
A,F,I,G,I
D,D,I,K,H
C,D,I,L,H
D,D,I,K,H
D,F,I,K,H
D,F,I,K,H
D,F,K,K,H
D,F,J,K,H
D,F,J,I,H
D,F,J,G,H
E,C,J,G,J
D,F,J,H,J
